logFC_(Intercept)	logFC_bmi_lv	logFC_msex	logFC_pmi	logFC_ADdiag3typeslateAD	logFC_ADdiag3typesnonAD	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_bmi_lv	se_msex	se_pmi	se_ADdiag3typeslateAD	se_ADdiag3typesnonAD	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_bmi_lv	p_msex	p_pmi	p_ADdiag3typeslateAD	p_ADdiag3typesnonAD	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-11.4286985699386	0.149811055297314	6.21011338242492	-0.00238804121561185	-0.183896785356946	0.099863558543626	-3.00111814367057e-06	-1.30540317315676e-05	0.0648449296369971	0.0107144729030006	0.147356321088003	0.00764942647612351	0.19546691912592	0.139992948397395	1.53874617464617e-06	7.28090604615679e-06	0	2.00424989160464e-44	0	0.754899433282449	0.346803407025217	0.475631021865021	0.0511325173193415	0.0729868224997547	36493	USP9Y	3.62127870415126e-40	0.149811055297314	0.709274207465254	0.140871930910949	1	NBGMM (LN)
-11.3028444881454	0.15574748942779	6.30773077800762	-0.00352782208511039	0.115202985577356	0.104919819898153	2.06749972380697e-05	-0.000137209714858597	0.0682038499228606	0.0113999566379387	0.158326379979592	0.00821558978898565	0.216258821326192	0.149436472885571	1.85053556722482e-06	8.20410400960473e-06	0	1.7095159741417e-42	0	0.667627917752852	0.594235146731706	0.482614831529957	5.56314628413672e-29	8.68709081099271e-63	36501	NLGN4Y	1.54437673103961e-38	0.15574748942779	0.798869625665774	0.278187057986732	1	NBGMM (LN)
-11.8030250591337	0.137127879503877	5.80012653187069	-0.000611610666128102	-0.198160342157638	0.0722516774893432	7.80964469949187e-06	-5.36311954637606e-05	0.0630528893022558	0.01040671620382	0.14143305589724	0.00764894175784529	0.184152511488441	0.129264606916277	1.71120330080358e-06	8.53006819719996e-06	0	1.19246120530565e-39	0	0.936268936015095	0.28189753199369	0.576199933789671	5.02282334720025e-06	3.23010944941254e-10	36496	UTY	7.18179635248747e-36	0.137127879503877	0.624766566034682	0.110814813535451	1	NBGMM (LN)
-10.8107839200842	0.10969296510601	5.51785526725163	0.00104194820757405	-0.051974130759828	0.0760734831230573	1.66129990808778e-06	6.15892683752556e-06	0.053132203442927	0.00906891161673153	0.11345482586451	0.00780490691132554	0.166133392701608	0.119887508734801	1.64651771267531e-06	7.4853333588369e-06	0	1.11569246805727e-33	0	0.893798659853018	0.754397832742473	0.525728126232823	0.312985255282607	0.410622150806979	36514	TTTY14	5.0395828782147e-30	0.10969296510601	0.616667940074248	0.235726030884232	1	NBGMM (LN)
-12.8647698953924	0.133799461755707	5.90775045632547	-0.00244817066190452	-0.287667332278354	0.073983321438698	-6.14181920966737e-06	5.07417958602189e-05	0.0772760375813435	0.0117115097837815	0.173288694049954	0.00750539916295829	0.18133195669445	0.126546586021874	2.37475378309955e-06	1.25125422528892e-05	0	3.15057597412697e-30	9.70625443467542e-255	0.744282168348674	0.112645704778951	0.55879445397075	0.00970132230248844	5.00754214318628e-05	36517	KDM5D	1.13849213401052e-26	0.133799461755707	0.540100060361426	0.0400216752653434	1	NBGMM (LN)
-12.7267734868035	0.0906794114844182	5.17023182587561	-0.00225572331096082	-0.120224249435291	0.0334199143465151	1.48024225217222e-06	-5.57000991762342e-05	0.0650519247525754	0.00972948881596414	0.137313762750297	0.00629334194665746	0.153490807966928	0.104958261520649	2.90006409532339e-06	1.4840406523311e-05	0	1.16275436508309e-20	2.95690534730466e-310	0.720021454234205	0.433470472406438	0.750172838836778	0.609759292239643	0.000174540492996539	36495	DDX3Y	3.50144097805355e-17	0.0906794114844182	0.391863345630027	0.0550700549975894	1	NBGMM (LN)
-12.079566932055	0.0726518228125266	4.74121897749339	0.00103034761689373	-0.194276633826039	0.0488307048987476	1.7316953408479e-05	-0.00012736185733186	0.0513567164093349	0.00838716636107766	0.105940492908622	0.0065651136656794	0.138820335066858	0.0952654024607103	3.18451376878514e-06	1.50289829748291e-05	0	4.62498540269484e-18	0	0.875289892755259	0.161668333351162	0.60824834182186	5.39230484442469e-08	2.36261260333661e-17	36519	TTTY10	1.19377480365558e-14	0.0726518228125266	0.358751488351624	0.560220107554866	1	NBGMM (LN)
-12.9492996020567	0.0736032068289619	4.74241734726629	-0.00379750233867988	-0.11268868025071	0.130241315255365	-2.75223639938755e-05	0.000197552536124285	0.0609849107516523	0.00900397616777655	0.123707147341092	0.00640946799450824	0.147476165004074	0.0981757033504174	3.8177276210854e-06	1.91765301544607e-05	0	2.97039606184039e-16	1.55136612794151e-321	0.553527043201427	0.444798995260004	0.184636224550298	5.63246443263001e-13	6.91640873413548e-25	36451	RPS4Y1	6.70863950566652e-13	0.0736032068289619	0.334764595888835	0.333577843329531	1	NBGMM (LN)
-13.9462690133924	0.0858174157161809	4.55708182110828	-0.00561520112322516	-0.298249803697344	-0.184409511166456	-2.92180581758157e-05	-0.000106269215665625	0.100416806408578	0.0127010549960348	0.200040705871268	0.00961749479786331	0.195329996070526	0.126331568256987	1.41258423385097e-05	5.90493872853988e-05	0	1.41154929721455e-11	7.11254958685442e-115	0.559319361287638	0.126785328666621	0.144365314124202	0.0386013218902749	0.0719132829591728	36473	AC064829.1	2.83376363356362e-08	0.0858174157161809	0.389768037482167	18.3497988197642	1	NBGMM (HL)
-13.0005887672695	0.0541398238473326	4.63394304498693	0.00377365411826537	0.0274136730522085	0.0485498400319226	-1.06728194533741e-05	5.13734022848176e-05	0.0610257089245472	0.00813779758459437	0.121449222039588	0.00560833989709369	0.12427289969332	0.081871992724483	4.49631521548091e-06	2.20384079859629e-05	0	2.87404593407888e-11	1.54779403332208e-318	0.501033351577739	0.825409719878154	0.553183209323998	0.0176117433262298	0.0197488780694732	36453	ZFY	5.19282619369373e-08	0.0541398238473326	0.218832262319385	0.783498724669117	1	NBGMM (LN)
-13.0601969669606	0.051129156528591	3.9679081325773	0.00143131703478761	-0.101442964065212	-0.0456688230986284	-2.0504845922873e-05	9.56517047733508e-05	0.0560565334618951	0.0077904505584974	0.109251865350112	0.00623575134422082	0.121130814319186	0.0794519790219789	5.62348647422092e-06	2.72050558413942e-05	0	5.271634469816e-11	8.13984084075341e-289	0.818453887064606	0.402330562234647	0.565428051818977	0.000266056761398401	0.000438178116265994	36471	PRKY	8.65889923642141e-08	0.051129156528591	0.19364294012435	1.61955452470323	1	NBGMM (LN)
-13.3328750707203	-0.143964429292907	-0.00224375417488692	0.0583940193955737	-0.557360516312033	-0.325994572253146	-1.58294918583691e-05	4.04961294840194e-05	0.129680570010882	0.0312573325178974	0.271872609529253	0.0304341571494981	0.410726432636569	0.302338060585787	1.20427378821329e-05	5.40594749028516e-05	0	4.10920608073692e-06	0.993415164201799	0.055022302897568	0.174777538046681	0.280924331195909	0.188697186210383	0.453794963608353	18098	LINC01515	0.00618709462222956	-0.143964429292907	1.92242805723822	3.24178379841273	1	NBGMM (LN)
-10.4532379120663	0.0226847089061472	2.9736701980089	0.00342431187950996	0.117303853527815	0.049870273512123	-2.40182246102613e-05	0.000169933201594351	0.0274611014806135	0.00521897246789074	0.0551345336981781	0.00444961148592459	0.0825572126178429	0.0597665574394692	4.62917267646811e-06	2.00546700966459e-05	0	1.38273305215108e-05	0	0.441551756728861	0.15535178464945	0.404045645422583	2.12053244536729e-07	2.38132477841579e-17	36460	PCDH11Y	0.0192178621432813	0.0226847089061472	0.175171918909263	4.28328680350022	1	NBGMM (LN+HL)
-8.96105419219217	-0.00443329710540906	0.017784481232308	-0.001216540199234	0.00215917368658656	0.015140397035693	-3.02240702798933e-06	5.91076155584435e-05	0.00662042966912277	0.00111516895354911	0.0115197199801624	0.0011836890049227	0.0172367590551883	0.0127601232960001	1.07145736434152e-06	5.66624913820703e-06	0	7.02466489502903e-05	0.122629691225836	0.304065921249639	0.900313251717132	0.235409104176391	0.00478984711197923	1.78009433633342e-25	15300	PCMTD1	0.0906583180881317	-0.00443329710540906	0.005933255375848	0.0772703331974229	1	NBGMM (LN)
-13.0945507078635	0.0380764648764651	-0.0442803377202185	0.0124785993484819	0.170662084695183	-0.23559830197897	-3.06763307027184e-05	0.000404474050299454	0.0554778012160344	0.00965911558334558	0.100350812964566	0.0107408567880359	0.147170139114915	0.112053876959011	1.20402682727455e-05	5.6584393803818e-05	0	8.07969093060059e-05	0.659028113222134	0.245321558508996	0.246201761065346	0.0355055751331891	0.0108401111129491	8.79515993237577e-13	1777	SPAG17	0.0973225704893943	0.0380764648764651	0.377662089956679	24.0982503453997	1	NBGMM (HL)
