logFC_(Intercept)	logFC_bmi_lv	logFC_msex	logFC_pmi	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_bmi_lv	se_msex	se_pmi	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_bmi_lv	p_msex	p_pmi	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-10.9123407826964	0.0623638558513442	4.78740495941786	-0.0201199135001998	-3.26392838482782e-05	0.000136516711980831	0.0760563044193041	0.00959348721247236	0.148563509603783	0.00979757722249731	2.04677373783764e-05	6.37828142382713e-05	0	7.99762948825959e-11	7.97529283514998e-228	0.0400182888507727	0.110786081932844	0.0323275485789433	36496	UTY	1.26146609918318e-06	0.0623638558513442	0.292072578842072	0.121787079627884	1	NBGMM (LN)
-9.36063952017421	0.0164785616864123	-0.0471464103128636	-0.00174570437641444	2.71658552523705e-05	-0.000104439714497355	0.0212577619335683	0.00349031096410885	0.0370171144046021	0.0041207739753215	1.73038441653786e-05	5.67769998857428e-05	0	2.34422386643429e-06	0.202791673800199	0.671831973991462	0.116430978050122	0.06584575902237	25814	CSNK1G1	0.0184877215226341	0.0164785616864123	0.0177218996585825	0.392950078477153	1	NBGMM (LN+HL)
-10.4556010572534	-0.0261279478458973	0.0966057030220605	0.000984434056208597	-1.65895697731536e-05	-1.18385430490427e-05	0.0343824017283046	0.00592326288039247	0.0583203043920855	0.00645222639719807	2.86691726105071e-05	9.33228907290012e-05	0	1.028593992274e-05	0.0976271321148642	0.87873519967956	0.562821757191741	0.8990545890467	31392	RAD23A	0.0540800434671258	-0.0261279478458973	0.0300587091790412	0.23525034628051	1	NBGMM (LN+HL)
-11.9542067452922	-0.0647864356677323	0.407778441174397	0.0286512604262736	-0.000316093738794999	0.00079204904549865	0.0808758770200086	0.0155589318538085	0.144581206005277	0.0149160268388966	0.000102137135143271	0.000289100494487699	0	3.12804376597436e-05	0.00479621579521204	0.0547522248919932	0.00196947386506106	0.00614950149763649	5870	LINC01937	0.123346585801784	-0.0647864356677323	0.37899370741587	8.50350404455125	1	NBGMM (HL)
-9.440597150751	-0.0143542162460856	0.0468626385519198	0.0044681563529103	1.46506934608596e-05	-1.56492401925578e-05	0.0212903107688291	0.00351201838789697	0.0356629501058203	0.00385277960728396	1.6548411773081e-05	5.52334383167285e-05	0	4.3666712541724e-05	0.188831841667233	0.246161684335117	0.375982321301101	0.776924574668359	35858	CHIC1	0.126393012386917	-0.0143542162460856	0.0114443159828529	0.240551711032093	1	NBGMM (LN+HL)
-11.1969190601121	0.0237082791214867	4.67525802331344	0.00309741765740087	-4.74142046241109e-05	0.000147938883555826	0.0815388294250319	0.00583462875521827	0.156920685780289	0.00567603255194072	2.46475070510143e-05	7.56605073773224e-05	0	4.83684247073187e-05	4.7051854024699e-195	0.585271361161141	0.0543932396142766	0.0505478372807898	36493	USP9Y	0.126393012386917	0.0237082791214867	0.0466484173594977	0.242686738718387	1	NBGMM (LN+HL)
-11.6771774319226	0.0439075394987196	0.376380601222606	-0.0245598240225985	9.57549067068777e-05	-0.000406579725195159	0.0663459844802322	0.0109409229296351	0.117895704894835	0.0140410548614948	6.25494764286086e-05	0.000196916917339953	0	5.99144018409968e-05	0.00141052896208364	0.0802661661462515	0.125802355967011	0.0389488147287307	483	ALPL	0.126393012386917	0.0439075394987196	0.176185671120818	5.37836827002722	1	NBGMM (HL)
-11.739392181029	-0.0466273594714735	0.0778408120946477	0.0071723130675748	-0.000136306918339371	0.000371584726858866	0.0674701775465017	0.0116651117320725	0.114422606159963	0.0122437101874781	6.14735555860944e-05	0.00019134479446894	0	6.41060102133604e-05	0.496319431298914	0.558012797908672	0.0266008166239707	0.052141443141941	6243	C3orf35	0.126393012386917	-0.0466273594714735	0.18137004335085	1.86836867843505	1	NBGMM (LN+HL)
-12.0011609556766	0.0435818128901982	0.0337658408819173	-0.00159416398047007	4.37112644756808e-05	-0.000207938293601102	0.0729111858411506	0.0110392689994925	0.123818142982427	0.0137600605152204	6.6395422527019e-05	0.000214775486985682	0	7.88432165282198e-05	0.785079902731891	0.907767911271824	0.510314823109245	0.332961543253097	5521	CPS1	0.138177117144401	0.0435818128901982	0.00459240908557084	6.89930374960557	1	NBGMM (HL)
-10.0355337614419	-0.0263837299365958	-0.103957882834822	-0.00198981002118126	-5.13513592124196e-05	0.000129043636666374	0.0368707428867947	0.00678181504896584	0.068618002238519	0.00752974597824047	2.69545197818446e-05	8.58852337162268e-05	0	0.000100093913482431	0.129766464365543	0.791579646967682	0.0567656097085982	0.132964803838837	12665	ARFGEF3	0.13914863601197	-0.0263837299365958	0.164506803220082	1.01356415237909	1	NBGMM (LN+HL)
