bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
XIST,XIST,UTY,PTGDS
ZNF98,GFAP,TTTY14,MT-CO1
CALN1,MT2A,USP9Y,MACF1
HPSE2,ARL17B,NLGN4Y,SLC1A2
GRIK2,SMTN,LINC00278,PITPNC1
MIR210HG,AC105402.3,DDX3Y,LPIN1
IFI44L,OGFRL1,TTTY10,MRVI1
ANGPTL4,METRN,RPS4Y1,KCNQ3
GRM5,KNOP1,KDM5D,NTM
RHBDL3,DDX5,HSPA1A,CLIP1
HILPDA,AC119673.2,HSP90AA1,ZFYVE28
PDK1,ID3,ZFY,MSI2
RERG,MIR4300HG,HSPB1,LINC00511
LRRTM4,MT1E,LINC01515,SORCS2
AL591686.2,NUPR1,CCSER1,DGKG
VEGFA,SRRM2,ZFP36L1,MT-CYB
LINC01727,MTRNR2L8,WDR11-AS1,PLPP3
ZSCAN31,B4GALNT4,WDR49,GALNT2
PLD5,MT1M,CERS6,PRKCA
BAALC-AS1,DLGAP1,PLXDC2,GRIN2C
XAF1,ATRNL1,DNAJB1,MFAP3L
RIMS1,CTSD,LRRC7,PSD3
METTL2B,ITM2C,DNAH7,MPRIP
ADM,KANSL1,FOS,MAP4K4
BICC1,MT1X,MALRD1,PKNOX2
PPFIA4,ATP1A2,TXNIP,PRDM16
SLC14A1,PDE4DIP,HSPH1,SORBS1
AL606807.1,SLC5A3,HSPA1B,SFXN5
PEBP4,RHPN1,RAD51B,TRIO
LINC00200,KIAA0930,DPP10,MT-CO3
FGF9,HNRNPA2B1,KCNH5,OLFM2
PIK3IP1,CCDC85A,SERPINI2,DANT2
IFI44,CD81,SYNPO2,F11-AS1
CABLES1,PTMA,CD99,ZNRF3
AL078602.1,SHTN1,FGF1,ACSS1
LINC01497,ADAM33,GLUD1,FTH1
CIRBP,DKK3,MALAT1,CADM1
IZUMO4,CKB,ACTB,ITPR2
THSD4,RIMS1,C5orf17,SLC35F1
C2orf72,CSRP1,CRYAB,TRIM9
PAK3,SLC38A2,EIF1AY,MT-ND4
PRLHR,DBI,LAMA4,ACSL6
TSPAN7,ANGPTL4,ST6GALNAC3,FGFR2
IFI6,HSPE1,JUN,NTRK3
GPI,JUND,EFEMP1,DIP2C
CACNG2,MATN2,TMC1,COL5A3
TTLL6,KCNJ10,LINC00609,FGFR3
NRP1,AQP4,CLVS1,MMD2
CACNA2D3,PLCXD3,FTCDNL1,ZHX2
PGK1,TMBIM6,SMAD9,MAST4
HPN,PNISR,PPP1R12B,PHF21B
SLCO4A1,COL16A1,DEPP1,CAMTA1
KCNJ9,GRIK2,CLIP2,FNBP1
CCDC144A,NCAN,PPP2R2B,KALRN
SEMA3E,MT-CO2,PCSK6,ARHGEF10
LAT,ROBO2,AFF3,ABLIM1
NRXN1,CRB2,TMSB4X,FRMD4A
RNF43,PSAP,TIAM1,KIAA1755
GADD45G,APP,NTM,PTPN9
IGFBP7,SLC3A2,AC012405.1,MAPK4
PRDM16-DT,PLXNB1,FAM135B,GRID1
HERC6,NEAT1,TJP2,ACOT11
OAS1,MT1G,ALDH7A1,RUFY3
C10orf90,LTBP4,FLG-AS1,ARHGAP24
DGKG,CEBPB,TAFA2,EPHB1
IRF9,TMEM132A,FOXP1,SPRED2
AL009178.3,IL17RB,AC053513.1,AHCYL1
AL109615.3,DDR1,ARMH1,AC092691.1
TSIX,GJA1,AL392086.3,RGS20
UNC13C,FAM107A,TTN,ECHDC2
CACNB2,SORCS3,ST6GAL1,GNAO1
LINC02774,PFKP,PDZRN4,SAT1
RAPGEF4,KCND2,FAT3,ATP1A2
ALDH1A1,RTN1,GMPR,MT-ATP6
HK2,FBXO2,ANGPT1,PI4KA
HGF,RASSF4,AC007262.2,OSBPL6
CPED1,APOE,MGAT4C,C1orf61
KCNIP1,LUC7L3,AL603840.1,CDHR3
SLC13A5,ATP9A,HSP90AB1,GNA14
RHOBTB2,FSTL5,HYDIN,SDC4
HLA-DOB,EIF1,ADIRF,TPST1
PTPRT,PNPLA6,EGLN3,OAF
LINC01833,SYNM,INPP4B,SLC6A1
TBC1D24,KAT2A,PBX1,ACTN1
AC064875.1,SLC47A2,MYOM1,TENM2
PRR5,ATP1B2,SERPINH1,PHACTR3
EPSTI1,KCNJ3,FAS,ARGLU1
TFCP2L1,ID1,CEP126,SPOCK1
MRVI1,NAT8L,AL031056.1,PTN
AC107223.1,SLC7A11,MAML2,SLC25A37
MCOLN2,NFKBIA,UNC80,MT-CO2
RSAD2,TSC22D4,NFASC,ST3GAL1
AL592183.1,CLU,SLC16A1-AS1,NEK6
AC016931.1,HMGN3,PRKG1,PTPRG
RNF165,GOLGA8A,CASTOR3,ADAMTS17
AC019257.1,ID4,PKIA-AS1,GABRB1
ARHGAP22,RALGDS,NEK11,NDRG2
LINC01280,SARAF,SPATA6,TCF25
CACNA1E,NUTM2A-AS1,FRY,CELF2
FXYD7,FTL,AKAP6,UBASH3B
EFCAB3,UBC,BAZ2B,PIP4K2A
GPR146,DYNLL1,MXD1,PIK3C2A
NEFL,EIF5,UBC,FBXL7
DHRS3,PFKFB3,AC073941.1,AKAP12
PAQR6,PBXIP1,LINC02296,GPC5
DPYSL5,PKD1,ANKFN1,SLC6A11
NRIR,ACADVL,CNKSR2,CLEC16A
AC051619.5,DPP7,MAPK10,PTPRZ1
RALYL,EDNRB,AKAP9,SIK3
TECR,MT-ND3,CHL1-AS2,CDC14B
LGR6,CLCN7,AL137139.2,MAN2A1
ENDOU,HSPA1A,ZMYND8,PPP3CA
ANKRD65,MARCH1,MAP2,ITPKC
PRR22,COL27A1,TBL1Y,GALNT18
SLC29A4,SCN1A,AC023095.1,ASH1L
CD34,SF3B2,AL645568.1,RAPGEF3
FZD6,IFRD1,AC092924.2,BCAT2
MARC2,PAXX,SIK3,DOCK4
AC034268.2,PLCE1,SLCO1A2,CACNB2
TNFSF10,CRYAB,LMCD1-AS1,UNC5C
GPER1,MRPS6,MTSS2,MT-ND1
TBC1D3D,WFS1,DIXDC1,MARK3
SOCS3,METTL7A,ARHGEF26-AS1,ITSN1
GOLGA8B,CTSH,PHIP,UGP2
IFIT1,TANC1,SNX31,SPTBN1
HPN-AS1,SLC6A9,VCAN,MT-ND5
DEPP1,LINC00907,STXBP1,GABRA2
BNIP3,HSPB8,MIR99AHG,PLCG1
TRERF1,ADAMTSL3,KIAA0319,RALGAPA2
AF123462.1,GADD45B,SPP1,NRXN1
GRIA2,ST8SIA1,AUXG01000058.1,MERTK
GABRA3,RAPGEF4,TUBA1A,CHST11
NEFM,MT-ND1,AP001347.1,BIRC6
IFIT3,AP002336.2,ADD3-AS1,DST
ADAMTSL2,CCL2,DOCK3,PLIN5
SLC1A2,BGN,COPS9,BRINP2
CELF4,SELENOW,HTATIP2,ARHGEF26
STAT1,SDC4,SLC43A2,SLC1A3
SLC16A3,LTBP3,LINC00685,APC
AC099754.1,MAT2A,AGBL4,ASAP2
NDUFA4L2,NAV2,AC124854.1,NCOR2
DMGDH,ANKRD30BL,TLE4,TNS1
CTDSP1,ADAMTSL1,LUCAT1,RIMBP2
IL6R,SLC39A11,ATXN1,PDE8B
RTN4RL1,DNAJB2,SLC38A1,FAM155A
AC002428.2,MT-ATP6,KLF12,FYN
AC025159.1,TMTC2,S100B,XYLT1
GAD1,GALNT13,HEY2,KIF21A
VSNL1,MLC1,PCNX2,HDAC7
AC026495.2,HECW2,PRH1,SYNE1
INKA2,PEA15,ADCY2,SFMBT2
OPLAH,SLC25A18,NR2F1,TOM1L2
RAB20,ITPKB,BAG3,ATP11A
FAM225B,TRIL,AC138627.1,GLUL
FGFR2,RASD1,NPAS2,ADGRG1
AC087482.1,AGT,MYH15,CADPS
ARHGEF37,SRP14,PTPRD,CSGALNACT1
GABRD,NPDC1,OLMALINC,STON2
MICA,SCN7A,XPO1,GARNL3
LDHA,SYT11,AC004158.1,F3
COL4A4,SNRNP70,GALNT15,ITGAV
OGDHL,HSPB1,TMEM178B,MGAT5
ADSSL1,LRAT,NEDD4L,CDH4
IDH2,NME3,TRPC7-AS1,ZMIZ1
JARID2,PTTG1IP,STXBP5L,LDLR
PDYN-AS1,RGMA,ZNF83,BRINP1
MOGAT1,ITM2B,NEK1,MEF2C-AS1
INA,SRSF5,LINC02814,TNRC6A
OAS3,DUSP1,ABI3BP,DNM3
RHOJ,HNRNPDL,HIST1H2AC,MAPRE2
SLC26A8,FGFRL1,CACNA1C,LUC7L3
TMEM132D,EMP1,KIAA0825,EPN2
AC079352.1,CD59,SOX6,SPRED1
TPD52,NSMF,NR2F2-AS1,ASAP3
FAM162A,FAIM2,CFAP54,TTYH1
NRSN1,PER1,HS6ST3,ETV6
ARPP21,CDK2AP1,AC092535.4,LSAMP
AC007448.5,SLC8A3,AC104389.5,DTNA
AFDN-DT,TMEM259,AUTS2,DOK5
OSMR-AS1,ZFP36L1,OSBPL1A,ATP8A1
AL512603.2,RHOB,DYNC2H1,EFR3B
AL731533.3,SIRPA,CAMK4,LRP1
DNM1,GEM,LINC01266,CTIF
RAB26,OAZ1,ADCY8,PALLD
AL163541.1,CCT3,PPP1R15A,TNIK
GYS1,ANAPC16,PCED1B,CYFIP2
AL356419.1,PRNP,HMGB1,RYR3
AL136441.1,HILPDA,AP002026.1,ANKDD1A
AL158058.1,AEBP1,MYLK,TMEM108
LINC01080,SQSTM1,DDIT4,INTU
HS3ST3A1,S100A6,AC124852.1,ATP1B2
SLC38A3,SLCO3A1,NBPF26,PCCA
AC005740.5,BCL6,FTO,FMNL2
NETO2,DCLK1,GNA14-AS1,MICALL2
KCTD8,PPFIA1,TNRC6B,SCARA3
TMBIM1,CAPN2,ARHGAP42,SNRNP70
COL13A1,SMARCD3,SLX4IP,BAALC
HTR1E,AQP1,AC243829.2,SGIP1
SEC14L1,COL9A2,MSI2,CACNA1A
