bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
AP003393.1,ATP6V1G2,GOLGA6L10,AC068587.4
AP001972.3,DISP3,AP1G2,RTN1
CADPS2,DKK3,C5orf63,NDUFA4
NUTM2A-AS1,C1orf115,SNHG27,TP53BP1
NDUFB8,AL359636.2,AKAP8L,DLGAP4
SPRY4-AS1,RPS27,LINC01446,CAMK2N1
AL109615.3,MAPK8IP1,AC087639.2,OIP5-AS1
GPC1,CDIP1,ZNF208,MAPK14
ZFX,GDI1,LINC02027,FXR1
MGAT4C,TPPP,C6orf118,RERE
LINC01310,RAN,AC096711.2,MDN1
AC068587.4,NEAT1,LINC02836,SNX3
GMDS-DT,RETREG2,AC009236.2,ATXN1
METTL24,ATP6V0C,RUNX1,SARAF
BMPER,NME3,LINC01885,PGP
AF165147.1,PRRT1,HLX-AS1,ARID4A
RPSA,FKBP8,AGBL1,SMIM12
TMEM241,HEXIM1,LINC02223,PPP6R3
SERPINF1,VSTM2B,ZBTB20-AS1,PHF14
COBL,CA11,GALNT5,SPTBN1
ZNF449,ATP6V1F,AC060765.2,ELP2
FGF9,CAMKV,SMIM36,PLCG2
PREX1,SECTM1,AC123912.1,AP3B2
CORO6,LRRC37A2,SPON1,STXBP5-AS1
TMEM240,PSD,SNHG25,JMJD1C
RABEPK,NPTXR,TMSB4Y,TRANK1
AC016598.2,AC131009.2,STON2,FLRT2
OGFR,BCL2L2,KIRREL3,TRAP1
AC091885.2,MT-ND1,SLC24A3,EXT1
C8orf86,SNCB,ASB18,ACSL3
AL589740.1,ISCU,AC010291.1,NDUFS1
WEE2-AS1,SUMO2,CELF5,ZNF518A
LINC01680,RTL8C,LINC02307,ATF7IP2
AC124852.1,NCDN,AC108057.1,FBXO34
CASC1,SET,AL136985.3,SYNE1
AC108519.1,NUDT11,ST6GALNAC5,MAPRE2
PIGL,HPCAL4,SLC47A1,MEG3
WDPCP,USF2,LINC00314,PTGES3
HGSNAT,COPRS,GRIN1,DPY19L2
AC124016.2,KIF26B,LINC02406,NRDC
GLCE,SNN,CERS4,SGSM1
AC067956.1,PIANP,LINC02070,RAB11A
CLDN16,SLC7A5,FAM114A1,NEK10
CACNA2D3,SYNGR3,AC092819.3,CALM1
RPH3A,PRELP,PCSK5,ABI2
AC021231.1,TAF7,OTOF,LINC00486
LUC7L2,ATP6V1B2,NFIB,NR6A1
AL096794.1,HSD11B2,AC018541.1,ABR
RPS7,HS6ST1,LINC00324,CLSTN3
RPL13,MT-ND3,AC007952.4,CAMTA1
TESPA1,CDC34,SLC35E2A,DGCR9
AL138927.1,DTX3,AP003464.1,TFCP2
ROS1,AP1S1,RIN2,PPP2R2C
AGBL3,HSPA1A,SLC16A1-AS1,HMGB1
LINC02055,BLCAP,LINC01331,UBE2H
DIRAS2,AL807742.1,DHRSX,RPS27A
SLC25A45,CNIH2,AC007391.3,NDUFA10
KBTBD12,MAPK8IP2,AC096589.1,DNAJB6
PIDD1,IGSF8,AL589843.1,FRY
NHLRC3,ST8SIA3,ZHX2,RTN4
RIC3,NPTX2,AC011246.1,ATP1B1
TMEM44,RPN1,AC008127.1,KLC1
ANK1,RPLP1,LINC02346,ARHGAP21
AC034268.2,RPS2,GPC4,MYO5A
AL357873.1,SUMO3,AL391117.1,SMG1
SEPTIN9,ATP6AP1,AC068491.3,ANKRD36
LINC02347,TERF2IP,TOX3,TUT4
HLA-C,SERINC1,AL391840.1,PPM1K
GPLD1,AC011476.3,LINC02109,MPHOSPH9
LINC02320,CLU,AC245123.1,HECW2
SLC35A1,CRIP2,MMD2,TRAF3
STX18-AS1,PRDX2,GRM8,PPFIA4
ACOT11,TMSB4X,LINC01776,PRICKLE1
RPL18,SLC6A8,LINC00443,ATP1B3
EIF4E1B,PDYN,LINC02277,RBFOX2
STS,H3F3B,AL358232.2,PPM1L
M6PR,CTSD,DISC1,MORF4L2
NAGPA,SUN2,AL358335.2,SRGAP3
FAM106A,DUSP2,AC069404.1,RPL41
SHFL,FTH1,CBARP,BNIP3L
RIN3,H2AFZ,CLTCL1,R3HDM2
NDUFV1,GABARAPL2,GTPBP6,LINC00326
LINC02263,SRSF8,AC097467.3,ASB3
MYO5C,TEF,AC092535.4,RPL24
GSTK1,UBE2M,LINC01374,GFPT1
BTD,NNMT,ARHGAP36,MOK
LINC01811,CELSR2,LINC01324,DZIP3
OSBPL10,SIRPA,CNTN5,PTPRS
CBX7,C4orf3,AC092546.1,TUBA1B
NPIPA8,IDS,SPTBN4,HDAC4
RGN,H2AFX,AL445985.2,AC007563.2
ABCA1,RASAL1,RHPN1,CAMK4
AC051619.5,SKP1,AC115485.1,RPL35
ZNF804B,EPOP,TDRD5,DPH6-DT
AC012494.1,TOLLIP,PTPRZ1,AC009041.2
AK8,STMN3,AL359237.1,L3MBTL1
AC007619.1,ACTB,DLGAP1,ACAP2
THEM6,UBB,LINC01954,SMCHD1
AC018467.1,RAD23A,PTGFR,ZNF706
MAMDC2,CHCHD2,LRRIQ1,FTH1
MAP4K3-DT,SPINT2,NRP1,NPTN
C1RL,ATP1A3,POTEG,KCNH4
NCALD,CLIP3,AL024497.2,SLF1
KAZN-AS1,RCVRN,DDIT4L,ATP2B1
AC093843.2,CLTB,AC091906.1,NEDD4L
GABRG3,TMEM59L,RELN,HTT
SLC13A3,PPP1R9B,XACT,RANBP2
RASSF4,FXYD1,AC078881.1,MTCH1
SLC26A10,CBX6,SMILR,TRERF1
SEMA3A,B4GAT1,TMEFF2,TBCD
TFAP2E,KCNJ4,AC093898.1,SEM1
KCNT2,NR1D1,AC244213.1,DAAM1
MIR646HG,ZNF723,PLXNA4,PARD6G-AS1
TRMT10B,GNG3,EWSAT1,SOBP
CABCOCO1,MLLT11,AP006621.3,LINC02680
MTAP,MAP1S,OTOGL,ZSWIM6
NAALAD2,PURA,AC016576.1,KTN1
LINC00299,ITPKA,LRP1B,FAM66C
AC011476.3,SEMA4C,SCART1,RNMT
RAB26,ATP5MC2,KIT,RPL32
ALDH1A3,SCG2,AC021594.2,ESYT2
AC019211.1,ARHGDIA,MUC5B,NTRK2
LINC02217,TNS3,CFLAR,RTN3
LUC7L3,CSRNP1,ACADVL,RPL21
AL008633.1,PFKL,UST,BEX3
ZFAND2B,MUC20,AC012078.2,AL136442.1
LGI3,MAZ,CLEC2A,SCAI
AC104827.1,EEF2,MYLPF,LINC01411
ANKMY1,TMED4,IL33,ATP6V0A1
RHOXF1-AS1,RASL10A,PTPRO,AC120193.1
LYRM9,SPDYE2,GALNT17,MARK3
ST3GAL1,HSPB1,BCL11B,DDX5
CIAO1,GAPDH,CFHR4,NMNAT2
AL445250.1,MNT,AC022730.4,SNAP23
RPS14,BRSK2,KCNB2,ENOX1
C5orf56,LINC02256,FBXO17,FEZ2
AP006261.1,MKNK2,AC037486.1,NRIP1
KCNH3,FXYD6,JPH4,CAMSAP2
EPB41,GLP2R,LINC02338,ANKRD27
TTC8,PLPPR2,LDHAL6A,CATSPER2
CTXN3,LY6H,THSD7B,NDFIP1
SUSD5,HSPA1B,BTNL2,WDR37
SUN3,KDM5C,AC083967.1,UTP23
AQP4-AS1,EIF5,CLASRP,CYFIP2
FLYWCH1,UBA52,CHST9,RYK
ATP2B2,MRPL34,AL391095.1,CAMK2B
AC024610.2,AC104041.1,TNR,KCNJ3
CACNG2,DDN,AC079848.2,ANK3
BCAN,SPRYD3,AL080284.1,URGCP
ARHGAP22,RPL39,PEX5L,SPAG9
DYNC2LI1,KCTD2,ZNF676,ASAP1
ZFP14,CIC,RAB11FIP3,LINC02755
FTH1,OLFM1,AC138646.1,PRDM2
DELE1,SH3BP1,PODN,PIK3C2A
ACTR1B,ARL6IP1,AL512625.3,KIAA1549L
RPL19,SELENOK,AC068756.1,ARHGEF9
AC018685.2,EPN1,KLF3-AS1,UGGT2
AL157944.1,ZNF621,ERC2-IT1,SYBU
TMEM63C,RPL41,MIR924HG,ZNF365
AC016598.1,TUBA8,TMCC3,BIRC6
HERC6,PPP2R1A,APCDD1,CLASP2
ITPK1,TUBB,ITGA8,MCF2L
TMEM160,RPLP0,AL121578.3,LINC00382
AC124254.2,FCER2,BDNF,RSRP1
