,earlyAD,lateAD
9860,AC004817.3,AC020907.4
9861,STK10,CSF3
9862,MRPL52,AC008569.1
9863,AFMID,SLC16A3
9864,FUCA1,P2RY4
9865,GPATCH3,HIST1H2BK
9866,AC092058.1,SLC17A1
9867,DIS3L2,AC010754.1
9868,EXOSC10,AL161616.2
9869,ASGR1,AC008622.2
9870,PRRC1,AC020978.6
9871,TDRD6,AC104472.1
9872,AC113391.2,AP003173.1
9873,PGM1,GSTA5
9874,CCDC69,ACTRT1
9875,VTI1B,OR4D5
9876,AC093382.1,TEX50
9877,AC240274.1,OR52B2
9878,SELENOH,AC106754.1
9879,BTBD2,SPEM1
9880,EXOC3,AP002802.1
9881,AC018557.3,GGT1-1
9882,RBP7,AL954642.1
9883,SPIDR,AL161668.3
9884,AC010336.3,AL365205.3
9885,VXN,AC100782.1
9886,CISD3,AC115099.1
9887,LINC02652,AL356361.3
9888,IGLL1,RETN
9889,AC073655.1,PKMYT1
9890,RBM12,S100A3
9891,LINC02737,AC011362.1
9892,TDRG1,ECM2
9893,ACTA2-AS1,AC027601.3
9894,C1QTNF8,AC016588.2
9895,TNFRSF21,AC027688.1
9896,NORAD,DDX11-AS1
9897,AC096637.2,HIST2H2AB
9898,TRPV6,AL357500.1
9899,KCNG2,LINC02711
9900,GPBAR1,AC084734.1
9901,OLFM4,OR52I2
9902,VPS52,SF3B5
9903,AP3S2,AC011446.2
9904,AC093817.2,AL512598.1
9905,LINC02022,AC093904.4
9906,TXNDC12,AL356022.1
9907,TBC1D25,AL596442.1
9908,TEKT2,AC009133.2
9909,AL359643.2,IL1RL1
9910,SELENOF,IL4
9911,BABAM1,AC106892.1
9912,GPR62,AL139424.1
9913,AC092745.5,AC020913.2
9914,LINC01485,AC092068.2
9915,FANCE,AC007496.1
9916,CCDC34,AL358334.2
9917,UBXN10,LINC00448
9918,AC021054.1,HOXA13
9919,RPS4X,GP5
9920,ZFP64,FOXI1
9921,AC125807.2,KRT39
9922,TMSB15B-1,JMJD1C-AS1
9923,KIAA1549,AL589990.1
9924,AC104078.2,AP001107.8
9925,SPON1-AS1,AP000527.1
9926,MTF1,AL450468.2
9927,AC091576.1,OR52E6
9928,CCDC187,TTTY1
9929,HSPA14-1,AC011518.1
9930,LINC02314,AL354984.1
9931,HIST1H2BJ,TRBV23OR9-2
9932,AF127936.2,AC005256.1
9933,POLR1E,AP001476.2
9934,AGFG2,AP001120.1
9935,CHRNB1,AL451067.1
9936,AC021678.2,AC027541.1
9937,AC137494.1,DEFB126
9938,C8orf31,OR1A2
9939,SSTR3,AL499627.2
9940,QKI,FP236240.1
9941,ANKRD27,TRAJ28
9942,ALG14,AC010485.1
9943,AL031280.1,TRAV33
9944,AC103739.2,TRAJ56
9945,AC112503.1,AL389889.1
9946,SOSTDC1,TAAR9
9947,AC024270.5,AC015818.8
9948,AC073073.2,DEFA4
9949,TMEM238L,LINC01438
9950,AL135784.1,IL36RN
9951,SLC66A1,AC036222.2
9952,MYRIP,TRBV10-2
9953,CCDC197,SCGB1C1
9954,SNN,TRAJ16
9955,AL359764.2,LINC02722
9956,LINC01828,OR13H1
9957,ZNF778,UGT1A7
9958,AC007364.1,LINC01751
9959,NUAK2,TRGV6
9960,GREM2,AC096644.3
9961,LINC02578,AL611929.1
9962,GON7,AC020595.1
9963,AC015727.1,AC006055.1
9964,AL139289.2,FGF19
9965,SZT2,AP005432.2
9966,LETM2,CCL21
9967,GPR55,OR4C13
9968,TAS2R7,AC022092.1
9969,TMEM39B,AC109361.2
9970,AC073342.2,LINC00446
9971,LSMEM2,AC004448.1
9972,LINC00377,CSNK1A1L
9973,LANCL2,LINC02362
9974,BOD1,OOSP2
9975,LINC00051,AL157378.1
9976,AC025774.1,OR5P3
9977,TMEM140,AL358215.1
9978,EXOC4,ESX1
9979,AC012313.1,AL079303.1
9980,FMNL3,AC112484.5
9981,STPG1,CD72
9982,NUDT1,AC005730.3
9983,GOLGA8R,AC005920.3
9984,DEUP1,AC011453.1
9985,ZNF598,AC004947.1
9986,LINC02127,OR51A7
9987,AP000873.3,GAPLINC
9988,PKIA-AS1,AP000781.1
9989,SLC35A4,GPR101
9990,PPP2R5C,AC026355.2
9991,EIF4E1B,AL445430.1
9992,MFSD10,C22orf42
9993,IQCH,AL162311.1
9994,FHOD3,AC007881.2
9995,LIX1-AS1,AC140118.2
9996,AC092807.3,TRGV9
9997,AC009812.4,HIST1H2BO
9998,AL133482.1,PDCD4-AS1
9999,AL133243.2,AC026367.2
10000,CLDN34,LINC01248
10001,SYT5,SLX1B
10002,CNN1,AC138028.5
10003,VEZT,AC024619.1
10004,AC005920.1,AL592182.3
10005,VRK1,AL162151.1
10006,BEST1,AC138028.3
10007,AC127522.1,CFC1B
10008,AC016747.3,KRT1
10009,AL050343.2,AL354892.2
10010,ADGRL4,AP001178.2
10011,HDAC3,AC106821.1
10012,SEPHS2,AC100861.1
10013,CERT1,Z82214.2
10014,ANXA2,AC005546.1
10015,AMACR,LINC00391
10016,AC010261.1,PRRT1B
10017,LITAF,CRISP1
10018,DNAJC12,HIST1H4K
10019,BX323046.2,MCM2
10020,MARCKSL1,AC079322.1
10021,AC016292.1,AC004869.1
10022,DDX19B,LINC00917
10023,AC079950.1,A2ML1-AS2
10024,NOC3L,AC005520.3
10025,AL110115.2,Z97986.1
10026,FZR1,AC024603.1
10027,KCNH5,AC013448.2
10028,DIRAS2,PAX1
10029,CNOT9,AL356361.2
10030,EXTL3-AS1,S100G
10031,AC026620.2,AL354761.1
10032,AC104984.1,R3HCC1
10033,ZNF408,MFSD6
10034,FAM242C,PAX6
10035,LRCH2,LINC02517
10036,LEFTY1,AC008906.1
10037,AP000350.6,AC002059.1
10038,ZNF852,PRB4
10039,CIB4,AC073111.1
10040,AC007292.2,AC084117.1
10041,AL022316.1,LINC02258
10042,ECSIT,AL589745.2
10043,AC244453.1,AC078851.1
10044,NFIB,OR6P1
10045,ATP6V1B1,AC008738.6
10046,KRT17,LINC02425
10047,PACRG,AC091027.2
10048,DNAH7,CCL24
10049,TGFBR1,AP001922.3
10050,FAM160B2,AC092384.3
10051,DCTN3,PTOV1-AS2
10052,ITGA6-AS1,AC087362.2
10053,CARS-AS1,AC006213.1
10054,RIC8A,GUCA2A
10055,MRM3,LINC01081
10056,AP001527.1,OPN1MW2
10057,AL358473.2,CTAG1A
10058,BRI3,HIST1H2BA
10059,SLC44A3,AC024270.3
10060,AC079601.1,AC100826.1
10061,LMNB1,AC009432.1
10062,INSIG2,AC094105.1
10063,EMC4,AC096732.1
10064,CFAP58,AC061979.1
10065,AC074050.4,PPIAL4D
10066,MFSD2B,AC136601.1
10067,LRRC57,AL133232.1
10068,PLA2G6,C4B-AS1
10069,CNTN5,PDHA2
10070,FAIM2,DCAF8L1
10071,NUDT16L1,AC104237.2
10072,MGAT5B,LCE1E
10073,TTC21A,AL355102.5
10074,KCTD4,AC046129.1
10075,PSMD2,ERLNC1
10076,MKRN2,AC099542.2
10077,AC114321.1,KRTAP9-6
10078,KCTD13,AL021920.1
10079,OVOL2,AL050402.2
10080,AC010422.2,AL035541.1
10081,UBL7,LINC01527
10082,STBD1,AC104109.2
10083,VWC2,DPPA3
10084,FOXM1,AL136172.1
10085,BCORL1,AC020913.1
10086,LINC00283,IL24
10087,PATJ,AC104530.1
10088,ZBTB6,GNG14
10089,LINC02624,AC008601.1
10090,FIP1L1,CFHR1
10091,TRIM24,AC017048.2
10092,AL136119.1,AL139035.1
10093,FAM160B1,AC021701.1
10094,GOLGA1,AC114954.1
10095,C8orf58,AL138799.2
10096,AC063976.1,AL122020.2
10097,CSAD,AC087521.1
10098,AC010641.2,OR14A16
10099,EGLN3,AC112503.1
10100,CELA2A,OPN1LW
10101,AC015878.1,Z98747.1
10102,SEL1L,AC005330.1
10103,AC079790.1,AC098868.1
10104,TEX53,AL121809.2
10105,SLC5A9,FAM199X
10106,ARF3,AC022929.1
10107,MITF,RCAN3AS
10108,PUDP,AC010329.1
10109,CCNT1,AC090220.1
10110,AC012363.2,AC006329.1
10111,ZNF570,CCL3L1
10112,RGPD1,AC126175.2
10113,SEC14L4,AC009110.1
10114,SOST,AL049748.1
10115,LINC02345,CDC45
10116,THAP4,SLC5A7
10117,AC002519.1,LACTBL1
10118,AMOT,AC010931.3
10119,DLST,AC013714.1
10120,CBWD5,KRTAP7-1
10121,CWC15,LINC02376
10122,ZBED6,LINC01293
10123,LINC00211,FTL
10124,TIMM29,AC008103.1
10125,AC109635.7,LIF-AS1
10126,FAM215B,LINC02760
10127,CDYL,CTRL
10128,PPP3CC,AC092634.4
10129,AC034243.1,AP003969.1
10130,SMPX,GAGE12J
10131,TMEM155,LINC01020
10132,KLK5,AL158069.1
10133,THORLNC,AC116366.1
10134,CTCF,LINC00261
10135,NABP2,NAV2-AS5
10136,REP15,AC246817.2
10137,NIBAN2,AC136475.1
10138,AC109492.1,HIST1H3A
10139,ARHGEF3-AS1,AC079610.1
10140,CELF2-DT,AL589642.1
10141,DDT,AL513314.1
10142,AC017083.1,AP000851.2
10143,PRPF4,WFDC12
10144,LINC02141,AC109309.1
10145,AC002563.1,OR52D1
10146,SMPD2,AP000552.4
10147,PALM,AC093904.3
10148,EIF1AD,AL031846.2
10149,ACTR3C,AL138830.2
10150,CFAP20,AC093206.1
10151,AC069224.1,BCL2L10
10152,NCOA3,AL024474.2
10153,ANO3,POTEF
10154,KCNRG,AC022001.2
10155,RBM41,AC097173.2
10156,PROSER3,DDI1
10157,DCPS,LINC02132
10158,AP005328.1,AMY1C
10159,VLDLR-AS1,AC022150.3
10160,AC093673.2,AC007688.3
10161,AL359551.1,PLA2G2F
10162,TIMMDC1,AC107294.3
10163,AC090229.1,AC051618.1
10164,MCIDAS,CCL23
10165,AC141930.1,LINC00565
10166,C1orf158,LINC01653
10167,AC020915.2,AC009127.1
10168,ADORA2A,CCDC140
10169,C1orf43,AC092376.3
10170,RNPC3,AC087885.1
10171,LNX2,CD69
10172,CDNF,LBX1
10173,PTCD1,PTPRD-AS1
10174,BBS2,AL158166.1
10175,SCGB2B2,AC171558.3
10176,WBP2NL,AC026782.2
10177,UTP3,AL080248.1
10178,DMBT1,AP005233.1
10179,TINAG,AL162427.1
10180,AL132875.3,CTAGE4
10181,ABRAXAS2,AC005050.2
10182,GOLGA6L4,MT1B
10183,TIMM10B,LINC02155
10184,AC010401.1,FAM138E
10185,MPIG6B,TRAV30
10186,AC005586.2,AC109495.1
10187,AL136441.1,LINC02303
10188,CYTOR,FOXN3-AS2
10189,AL731533.3,AC080078.1
10190,ANKLE1,TTLL2
10191,ANGPT1,AC109454.2
10192,AC006064.5,SFTA2
10193,CEP126,AC017104.1
10194,KIF2C,LILRA5
10195,BLM,PSORS1C2
10196,SEZ6L,TRBV30
10197,PSMD9,AF131215.7
10198,CPSF1,AL359547.1
10199,LINC00313,TTTY17C
10200,IFIT3,LINC02782
10201,LY6G5C,LRRC3C
10202,ATXN7L1,AC008735.4
10203,AL161734.2,AIF1
10204,TUBB4A,PHOSPHO2
10205,AC092849.1,MMP12
10206,AC010261.2,AC012081.2
10207,LINC02394,AL161618.1
10208,LINC02071,AC092115.2
10209,LOXL4,AC078820.1
10210,SORBS3,AC004816.2
10211,LINC02499,LINC01996
10212,APPL2,AC010907.1
10213,HIST1H3D,LINC02089
10214,C7orf50,AP001596.2
10215,AC244472.1,GDF2
10216,MAP3K5,AL049870.2
10217,WNT11,AC090812.1
10218,GNRH1,AC027601.2
10219,AC068700.1,ERVV-1
10220,RNF223,HIGD2A
10221,NLGN3,CAPNS2
10222,AP003307.1,AC111197.1
10223,AP000704.1,AC087242.1
10224,AC090912.1,AC063952.4
10225,AC244517.1,AC025437.2
10226,AC093503.2,AL662791.1
10227,MPL,AC245052.1
10228,AC011444.2,AC007431.2
10229,CASTOR2,AC107886.1
10230,CDH1,AC008555.4
10231,RPS10-NUDT3,LINC02617
10232,AP006621.3,AC087741.2
10233,CACNA1H,AC005586.2
10234,FP326651.1,AC092145.1
10235,OR7D2,AC025370.1
10236,ADIPOQ,AC008592.5
10237,ZSCAN18,AC108063.1
10238,AP002961.1,AL008720.1
10239,AL031714.1,AC244093.3
10240,AL358216.1,PHGR1
10241,TBL2,AC008878.4
10242,MOGAT2,MAGEL2
10243,RSPH10B2,AC020978.7
10244,AC117834.2,PNMA6E
10245,AP000432.1,KRT75
10246,NAXE,VENTX
10247,VHL,TFF3
10248,ZNF805,B3GALT1
10249,TAC1,STARD8
10250,PELO,NTS
10251,HPN,IGKV1D-8
10252,MR1,OR10A5
10253,OOEP-AS1,AL158834.2
10254,TMEM79,LINC01139
10255,FOXO3B,USP32
10256,AL445647.1,AL355870.1
10257,GPR151,AC108727.1
10258,TMIGD3,MRPL19
10259,MRPL42,AC078883.2
10260,AC127496.1,AP000462.2
10261,SSUH2,AC145350.4
10262,PIP4P2,AC159540.1
10263,ZDHHC3,AC105180.1
10264,UGP2,AC025475.2
10265,P4HB,ADGRG1
10266,TBC1D13,SLC6A14
10267,AC245014.3,AC026954.3
10268,PCNA,AL358972.1
10269,AC079341.1,AC087477.4
10270,SLC35E3,AC114808.2
10271,GAMT,MATN1-AS1
10272,FER1L6,AP002358.1
10273,PPM1M,U51244.1
10274,KIF24,AL355922.1
10275,SMIM15,AL121820.1
10276,AL137785.1,LINC02800
10277,LINC00701,AC013248.1
10278,PPRC1,AL731537.2
10279,AL442128.2,LINC01912
10280,AC116049.2,TRAJ47
10281,LINC02029,LINC01755
10282,TRIT1,AL355922.4
10283,ELMOD1,AC067930.1
10284,AC073578.2,SLC35F4
10285,FAM83G,SCGB3A2
10286,AC114954.1,AL646090.2
10287,AL662884.3,GNAT1
10288,AC120114.1,LINC01448
10289,KREMEN2,AC090587.1
10290,RAB22A,AC103858.2
10291,RPP21,GPR84
10292,NUDT5,AC093675.2
10293,PROSER1,AC008453.1
10294,AC026471.4,AL356157.1
10295,FKBP1C,AL139824.1
10296,ACTR8,LINC01216
10297,AC144450.1,TRAV11
10298,PALM3,RTP2
10299,ANAPC5,KCNE5
10300,AF111167.1,LINC00700
10301,FAM181A,NRXN2
10302,AZIN1-AS1,AL354813.1
10303,PODXL,KRT19
10304,AC099332.1,AC010096.1
10305,RPS19BP1,AC005034.3
10306,AC005358.2,PCDHGB2
10307,IFT22,CLEC12A-AS1
10308,IQCF1,OR6B1
10309,XK,AL049830.3
10310,TBX1,TSSK2
10311,ZNF786,AL121658.1
10312,AC080078.2,AL360182.2
10313,NQO2,AC068338.2
10314,WDR5B,AC010359.2
10315,AC087439.1,RPS6KA4
10316,AL133523.1,LINC02667
10317,AL133279.2,IL16
10318,PSMF1,AC027811.1
10319,DHPS,AC005703.3
10320,OSGEP,LINC02090
10321,AC025031.2,AP001085.1
10322,AL354950.1,AL121917.2
10323,FKRP,HOXA1
10324,AC025580.1,AC145207.4
10325,POLR2A,AC068544.2
10326,PACC1,AC068397.1
10327,AC019185.2,AC022506.2
10328,KCNJ2-AS1,AC007848.1
10329,LRRC59,C12orf71
10330,LAPTM4A,SPANXN2
10331,TRIM52,AC022079.1
10332,LINC01249,GOLGA6L6
10333,FAM181B,AC015853.2
10334,ANKRD65,AP001350.1
10335,AC078802.1,AC108142.1
10336,OLIG2,SULT1C3
10337,TTC6,AL590422.1
10338,GPS2,SPINT3
10339,ZDHHC5,RGS9
10340,AC012511.1,AL929472.3
10341,AC021733.4,LYPD6
10342,AC092653.1,THEMIS2
10343,NMRAL1,AC103563.2
10344,COL6A3,NMBR-AS1
10345,CHST1,MMP7
10346,AC072022.1,AC010185.1
10347,RNF123,LINC02438
10348,HIST2H4B,AC008734.2
10349,INHBC,AC105445.1
10350,ZDHHC13,AC015853.1
10351,MRPS23,AC007066.3
10352,FBXW5,AC093503.2
10353,AC005695.1,ADGRD1-AS1
10354,GOT1,AC127002.2
10355,EIF2D,TRAV6
10356,THUMPD3,PRR23A
10357,AL034550.2,AL359764.3
10358,U52111.1,GDF5OS
10359,AC099506.1,AL354714.1
10360,EPS8L2,LINC01659
10361,LEMD1-AS1,GCM1
10362,SPOPL,OCSTAMP
10363,KCNK3,AL590681.1
10364,AL023553.1,AC080068.1
10365,ADRA1A,AC015468.1
10366,AL035252.5,OR9K2
10367,REC8,TEX13B
10368,HHIP,AL353708.2
10369,LINC00909,AC090125.1
10370,AL391834.2,CLLU1OS
10371,C1orf109,MUC5B
10372,ARHGAP11B,ARCN1
10373,SCAMP5,AC063948.1
10374,AP005059.2,ORM1
10375,MDM2,KRT36
10376,FAM237B,AC026771.1
10377,KLHL7,CFAP20
10378,GGTLC2,AL391097.3
10379,ETDA,CCER1
10380,PIH1D1,AC233728.1
10381,AL589765.7,AC068946.3
10382,WRAP53,AL591074.1
10383,KLHL11,AP003467.1
10384,TAF1,BANP
10385,AC005695.2,AC090912.2
10386,PDRG1,CSN1S1
10387,LINC02857,OR1N1
10388,AC087294.1,CDX4
10389,AC083864.5,AC009410.1
10390,AC092608.1,SERPINA7
10391,PDZK1,IGKV3D-7
10392,COPE,AC226118.1
10393,AC012065.3,OR5A1
10394,CDH8,AC039056.2
10395,AL731563.3,CALD1
10396,PTH2,AC090510.4
10397,DPEP1,AC007342.4
10398,AC079070.1,AC015563.2
10399,AC073569.3,AC011445.2
10400,SLC27A3,HMMR-AS1
10401,LINC00523,SSU72P8
10402,AC024560.3,NDFIP2-AS1
10403,HAGLR,GSTM2
10404,AL627230.1,PRAC1
10405,LINC02803,CCL11
10406,ZNF35,AC073370.1
10407,AC008505.1,AC138915.3
10408,ODF3L2,AC141930.2
10409,ELMO3,LINC02606
10410,ZNF589,ZNF747
10411,NPIPB15,AL139339.2
10412,LINC00519,PLEK2
10413,TUBB6,SLC34A3
10414,GALNT4,AL020994.1
10415,AC244035.4,KRT26
10416,AL445430.2,NPIPB8
10417,TTI2,CCDC201
10418,AL445524.1,AC023830.3
10419,AC025366.1,CDC14A
10420,RNPEP,OR9G4
10421,RSF1,AC116348.2
10422,NEDD8,MAGEA11
10423,AC125494.2,AC092902.2
10424,AC120036.5,AC105133.1
10425,AL355810.1,TBC1D10C
10426,AC110760.2,AC011611.3
10427,ENOX2,AC025154.2
10428,AC009127.1,AL355336.1
10429,OSER1,LINC01705
10430,AC020980.1,AL157769.1
10431,ATP6V1E2,ATF4
10432,AC061975.1,AL158211.2
10433,HCCS,AC107918.5
10434,AC091133.1,AC015908.3
10435,PABPC4-AS1,AL355075.3
10436,LINC02076,AC034148.1
10437,SENP7,AC006305.2
10438,HBS1L,AL158013.1
10439,LINC02689,FOXN1
10440,EIF2B4,POT1-AS1
10441,XPO1,TRBV12-1
10442,AP002989.1,GPR25
10443,SRRM5,AL606970.5
10444,IFT122,IFNA14
10445,NPIPB8,TRBJ2-2P
10446,AC121764.1,AC069280.1
10447,CLEC18B,AC012531.1
10448,PCDHGC5,AC093418.1
10449,EIF2S1,SH2D1B
10450,EMC10,LINC02078
10451,AL513477.2,LILRA1
10452,PCDHB15,TEX28
10453,MC4R,CCDC114
10454,AF111167.2,AL160286.2
10455,LINC02417,CAPZA3
10456,ZNF703,F2RL3
10457,UCK1,AL137001.2
10458,GBA,AC009055.2
10459,LINC02485,AC012676.1
10460,CAPN6,GOLGA8T
10461,AF001548.2,AC104793.1
10462,AC084724.1,ETDA
10463,HIPK2,AC080011.1
10464,PLXNB3,AC078874.1
10465,LINC02503,AC006146.1
10466,UBAC2,ELOA3
10467,AC079921.2,AC092800.1
10468,LINC01412,AL078581.2
10469,CENPT,AP002518.1
10470,AC092332.1,MYLK
10471,VIPR2,AC126768.2
10472,TMPRSS13,HBE1
10473,PCIF1,OR8H1
10474,RMND1,AC117569.1
10475,WDR92,AC055764.2
10476,AC012625.1,LINC00102
10477,AC015912.3,AL137224.1
10478,ERICH6,IGFBP4
10479,AL136972.1,AP000907.2
10480,CTSK,AADAC
10481,C19orf25,AC015660.5
10482,C1orf216,ETDC
10483,VIT,AL596211.1
10484,GATD1,AC027315.1
10485,AC137695.3,CT47B1
10486,AC073834.1,AL355836.3
10487,RMI2,AC025566.1
10488,NFU1,LINC02544
10489,ANAPC13,EPHX1
10490,TREH,AL356218.2
10491,ARHGAP29,AL109741.1
10492,SMIM20,LINC02563
10493,PCDHB2,CST2
10494,AC022966.2,OR13F1
10495,AC015712.1,AC060814.4
10496,AC006372.3,AC068058.1
10497,AC137630.2,AC012070.1
10498,AC010904.2,LINC01650
10499,GANC,AC129507.3
10500,FUBP3,ELOA3B
10501,SLC25A32,CABS1
10502,ENOX1,AC025271.3
10503,AC092604.1,TAF11L14
10504,C6,AL772284.2
10505,SRP68,OR4C11
10506,SP4,IL36A
10507,MRPL45,AC025277.1
10508,TCF3,TRAJ8
10509,SLIT2-IT1,MBD3L2B
10510,AC006059.5,TRAJ59
10511,NKX2-1,PRLH
10512,AC022506.2,AC073188.5
10513,AP003352.1,TRBV4-2
10514,MRPL11,AC092802.4
10515,AL356608.1,AC136431.1
10516,LINC02605,INTS5
10517,CETP,AL139350.1
10518,AC008119.1,APOBEC1
10519,AC090844.2,EVX1
10520,ICMT,FAM92B
10521,UPB1,AL645941.1
10522,AC079414.3,AC009305.1
10523,AL451166.1,AP003785.1
10524,AC022509.3,AC008735.2
10525,AC005909.2,FAM242B
10526,CASS4,AL831784.1
10527,JPH2,AL023802.1
10528,WSCD1,SYNE1-AS1
10529,PRCC,AP001924.2
10530,STAM2,AC100797.1
10531,ITGA6,AC012213.2
10532,GALR1,DNM3-IT1
10533,AC091045.1,GKN1
10534,LINC02399,ZG16
10535,RNF111,AL391645.1
10536,U2AF1L4,AC098656.1
10537,SLC25A38,SERPINB10
10538,AL121772.3,KCNRG
10539,THRIL,APOA5
10540,AC017048.3,AC064856.1
10541,FAM43B,AL589684.1
10542,LINC01740,RAB14
10543,ORMDL2,Z83847.1
10544,FKBP15,CYP1A1
10545,FP325330.2,TMEM239
10546,AC007686.2,AC074257.1
10547,DBP,HSD17B13
10548,OCLN,SRSF1
10549,CCNB1,TNFRSF10A-AS1
10550,AC025539.1,DEFB118
10551,PXT1,AC023762.1
10552,PI4K2B,DERA
10553,DAAM1,AL359095.1
10554,AL513165.1,IRGC
10555,CLIC5,AC008507.5
10556,CDK2,AC005523.2
10557,KCTD2,AC019193.4
10558,PIWIL2,AL133335.1
10559,AL109933.1,AC138854.1
10560,AL096854.1,AC005912.2
10561,SIK1,GMNC
10562,UBTD2,AC012557.1
10563,HEPACAM2,TRBV20-1
10564,RWDD4,AP001020.1
10565,KIF18A,TUBB8P12
10566,PSMC3IP,KRT6A
10567,CTU2,AC104211.1
10568,RASGRP3,TLR8
10569,AC079089.1,CRNN
10570,MRPS24,AC012456.2
10571,CCDC153,AC132217.1
10572,NME3,AC068483.1
10573,DHX29,LINC02823
10574,WDR83,LINC01564
10575,ZNF257,AC022695.2
10576,MYBBP1A,AL732437.1
10577,WNT3A,TRAJ20
10578,C13orf46,ATG10-AS1
10579,SLC25A21,PCDHB16
10580,AC091893.2,LINC02316
10581,AC007786.4,C17orf82
10582,ICE2,TRIM21
10583,IFI6,AL132765.2
10584,SETD6,AL603783.1
10585,RSPH6A,AC138470.2
10586,AC008063.2,LINC02409
10587,TFAP4,AL109910.2
10588,BCL2A1,AL020994.3
10589,SLITRK1,LINC01613
10590,SIRT4,PTER
10591,ARL6,CCDC81
10592,UBE2Z,FP565260.1
10593,NFATC1,LINC02174
10594,AC091849.2,NUCKS1
10595,CDC42EP4,ASCL1
10596,AC011294.1,OR1B1
10597,AC121761.2,AL356234.2
10598,LINC01220,TEX54
10599,AC009975.2,AL645608.5
10600,AC009135.1,AC108051.1
10601,LINC02289,TAS2R42
10602,STXBP4,AC005920.4
10603,AC026369.1,AC079163.1
10604,IFI27L2,AL356489.1
10605,AC040904.1,AC020658.3
10606,CCDC88B,AC073176.1
10607,AC078881.1,ATP6V1G3
10608,AC105450.1,LINC02560
10609,NUP85,AC098680.2
10610,PSMG3,AL356234.3
10611,AC024075.2,AC016888.1
10612,AC135050.6,LINC01394
10613,AC136628.4,AL772155.1
10614,AC006960.3,IL17F
10615,ADH5,AC009630.4
10616,AL049539.1,LINC01391
10617,UNC50,AC121493.1
10618,MMEL1,AC080132.1
10619,AC009097.3,OR2AK2
10620,AC084834.1,PAPPA-AS2
10621,AP005671.1,HAND2
10622,LINC02765,MSX2
10623,MTHFD1,AC025272.1
10624,SLC7A6OS,UNC5B
10625,FBXO45,FOXE3
10626,FLJ45513,AC084756.1
10627,AL139423.2,AC118469.2
10628,ORC5,AL161797.1
10629,MIGA2,HIST1H3G
10630,AC023983.2,SLC27A6
10631,DBET,AL603839.1
10632,ANKRD62,AC087392.5
10633,SEMA6A,AC011524.1
10634,CFAP77,RNF166
10635,CEP120,PIK3CD-AS1
10636,RSPH9,AL355483.3
10637,CCNB2,AC009365.3
10638,AC078789.1,AL355612.1
10639,AC010271.2,CCDC127
10640,RRP15,FAM83E
10641,MALRD1,TGM5
10642,LCA5L,TAB3-AS1
10643,AC091729.2,AC109642.1
10644,STRBP,AC021483.1
10645,AC093525.7,AC131956.3
10646,KLF16,AL078605.1
10647,DBH,AC098934.4
10648,ZNF687,CSTF3-DT
10649,TAF1A,AL353680.1
10650,AC009315.1,LINC00968
10651,AC074052.2,TRBV7-5
10652,ADGRG4,AL109763.1
10653,C2,CALHM6
10654,AC009495.3,AL080275.1
10655,NUDCD2,BLK
10656,PRMT5,LINC00616
10657,C11orf80,Z72006.1
10658,APOA1-AS,FAM13B
10659,AC020661.1,AC034102.3
10660,LINC02625,AP000553.9
10661,LY6D,AC009034.1
10662,LINC02805,AL135790.1
10663,NPIPA7,AC007952.3
10664,AL158152.1,KRT84
10665,DGCR2,PDILT
10666,TRABD2A,AC002467.1
10667,TGFB3,AC022274.1
10668,AC016831.1,AC138207.9
10669,MYL1,C18orf65
10670,LINC01164,AL589986.2
10671,HEPACAM,SMOX
10672,AC007728.1,AC025162.2
10673,AL121899.1,RNF135
10674,AC004990.1,PRKACG
10675,AC099487.2,AL357033.3
10676,AC008679.1,AL354956.1
10677,FP565260.3,DERPC
10678,AP002884.3,IGLV11-55
10679,TCHH,AC131971.1
10680,AC026356.1,ZNF613
10681,TMEM126A,LINC02838
10682,AC234772.2,LINC02157
10683,AC006449.6,CFHR3
10684,FGF23,SELENOK
10685,AC096531.2,LINC02400
10686,POU5F1,KCNJ5
10687,FAM120A,AL033527.2
10688,AC097534.1,KLHL30
10689,TRPM6,AC136443.4
10690,AC005072.1,ANKRD62P1-PARP4P3
10691,APOBEC3A,Z82244.1
10692,AC090578.2,AC079610.2
10693,MRTFA-AS1,ELOA2
10694,ZNF335,AC010196.1
10695,TMCC1,AC093627.22
10696,EIF3E,AC096708.2
10697,RTBDN,AC063947.1
10698,RBMS1,AC068858.1
10699,MED12,AC104695.4
10700,APBA1,KRT76
10701,TRAK1,AL606469.1
10702,AC004543.1,CDX1
10703,LINC01851,RBM46
10704,HIST2H4A,LINC02195
10705,AC011444.3,OR52N2
10706,VWC2L,AC244093.4
10707,AL135978.2,TRIM64B
10708,AL157700.1,FRMD1
10709,FUT10,AL513327.3
10710,DENND11,AC243585.1
10711,AC005899.1,OPN1MW
10712,WIPF1,IFNL1
10713,KF456478.1,H3F3C
10714,AC068790.3,AL450267.1
10715,AC012507.3,ZIM3
10716,AP003501.1,AC018714.2
10717,SLC39A8,AC253572.2
10718,LRRC37A3,KRT23
10719,AC093849.3,Z98949.3
10720,AC025265.1,HOXB-AS4
10721,AC104365.1,TRAV26-1
10722,AC005772.2,C12orf80
10723,TTC39A,DEFB124
10724,ZBTB39,AC025271.4
10725,PLAC4,USP27X
10726,TTLL8,C14orf39
10727,BTLA,AC012413.1
10728,ANKAR,ARAP1-AS2
10729,AC087427.1,NRG1-IT3
