bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
XIST,HAPLN2,UTY,GRID2
AC110285.1,SPP1,NLGN4Y,ERBB4
JPX,RASSF4,DDX3Y,NRXN3
CARNS1,PICK1,USP9Y,GNG7
COL4A5,KNOP1,HSPA1A,CNDP1
GABRG3,DDX5,LINC01515,AGAP1
ARL17B,MID1IP1,TTTY14,SIK3
SLC24A4,SUN2,KDM5D,ASTN2
GAS7,NAV3,ZFY,DSCAML1
AL359091.1,GOLGA8A,HSPA1B,APBB2
KIF25,KANSL1,TMPRSS5,PSD3
OPALIN,ABCA2,RPS4Y1,ABHD2
ZIC1,NPTX2,AC064829.1,GRIK4
SHISA6,ADD1,EGR1,ANKS1B
CDH23,AC105402.3,APOD,NCKAP5
LINC02073,RYR2,HSPB1,PDE8A
KDM6A,RGCC,EIF1AY,FRMD4B
KAZN,SLC38A2,TTTY10,GNAO1
CIRBP,ARL17B,ITPR2,COBL
MTRNR2L1,ATP1B1,HSP90AA1,ZFYVE16
AL512308.1,ATG4B,DPP10,STMN4
TP53TG5,HTRA1,AL354809.1,PPP2R2B
LINC00463,BIN1,FRRS1L,DUSP16
PDE1C,NKX6-2,KCNH5,MGAT5
CNTNAP2,MT-ND1,SPTAN1,GRIA2
RAPGEF5,HNRNPDL,TRPM1,CDK18
VEGFA,LUC7L3,GNAS,PCSK6
PALM2-AKAP2,NDRG1,C5orf17,ANK3
DAB1,P2RX7,LINC00351,NCOA7
MBP,HNRNPA2B1,XKR6,BAALC
DYSF,CCP110,HPR,ARHGEF3
FRMD4A,KCNMB4,FOS,SAMD4A
TSIX,CALD1,N4BP2,GPR155
CCDC144A,RALGDS,SLC8A3,RIN2
ANK3,AC119673.2,SERPINH1,MACF1
PLP1,TNS3,PCDH11Y,SAMD12
POLR2F,COL16A1,RORA,CREB5
AC119673.2,SRRM2,CACNA1A,PLEKHH1
ABCC4,ZNF565,ROR1,FNBP1
PPP1R16B,LCNL1,AC004784.1,LRP1B
HS3ST5,QDPR,GADD45B,PHACTR1
