,bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
62,AP001972.3,DNAJB2,FOXC1,PICALM
63,APOL2,MAT2A,AL392172.2,UBR5
64,AC005753.2,LRRC37A2,LINC01098,ASPH
65,STS,FADS1,KYNU,CAMTA1
66,AC084198.2,CAMKK1,MLPH,HSPH1
67,AF165147.1,APLP1,MS4A4A,SFXN5
68,AC105450.1,GPRC5B,SLC7A14-AS1,DSCAML1
69,MRPL41,WBP2,AC023469.1,PBX1
70,LUC7L2,THRA,TARID,SMARCA2
71,AL117329.1,PTS,AL358394.1,HNRNPDL
72,IQSEC1,PYGL,C1QB,DST
73,GAS7,RPS27,HLA-DQA1,NTM
74,FAM106A,NUTM2A-AS1,AC097487.1,FAM168A
75,PPP1R16B,SLC22A17,CPVL,DAAM1
76,CLCA4-AS1,FAM215B,MOBP,PWWP3A
77,STX18-AS1,TERF2IP,PAQR5,ARHGEF12
78,AL359232.1,SPDYE2,LY96,JMJD1C
79,MAP4K3-DT,PCBP1,DOCK10,CDC42BPB
80,STAT4,ORAI2,AC012078.2,HIVEP2
81,ADCY1,MAPK8IP1,C1QA,SEM1
82,AC013460.1,HTRA1,PRG4,SLC25A37
83,RPRML,MTCH1,TMSB4Y,CCNY
84,ZNF248,AATK,CIITA,AL357153.2
85,PRKCB,BSG,AC092155.1,SMCHD1
86,JAK1,PTMS,BMP5,PTPRJ
87,DDHD2,MAN2A2,ZFP36L2,LUC7L3
88,AL096794.1,ID2,LNCAROD,SREBF2
89,GPLD1,LINC02256,AC097652.1,CDK5RAP2
90,NHLRC3,FDFT1,SLC5A5,TRA2A
91,KCNB1,ELK1,AC123912.1,ZSWIM6
92,CACNA2D3,CAMK2N1,ARHGAP15,ZNF518A
93,MIAT,ITM2C,ADH1B,LPIN1
94,CYREN,HP1BP3,AC025810.1,OGA
95,AC124016.2,SBDS,AC010889.1,TBCD
96,EIF4E1B,AC103810.2,AC024236.1,L3MBTL1
97,SEC31B,HSPE1,LINC00639,MPRIP
98,TM7SF3,TTYH2,TLL1,ARID4B
99,TMEM240,CCP110,SLCO1A2,AC139887.2
100,CARNS1,ATP5MC2,UACA,SAMD4A
101,GPC1,H3F3A,SLC22A2,EXT1
102,TMEM132B,NUPR1,IGFN1,ANKRD26
103,RHOT2,CEBPB,CMKLR1,R3HDM2
104,AC119673.2,IGSF8,RNASE1,KIF5C
105,CHGA,MLF2,MS4A14,GNAO1
106,OSBPL10,DPF1,DDX11,CMIP
107,KIF25,KLHL21,RTP5,LCOR
108,NDUFB8,PRKX,C3,DDX17
109,SPG7,TAF7,CD163,DIP2A
110,KCNH3,JUN,STEAP4,SGIP1
111,GARNL3,PPA1,HLA-DPA1,PHC3
112,SCPEP1,SRRM2,AC090015.1,UBE2D3
113,AL138701.2,AC025159.1,CD24,SRGAP3
114,TMEM179,IGSF9B,FAM242A,MDN1
115,TMEM63C,SQSTM1,SLC16A12,SAMD4B
116,RAB26,LINC01182,CHRNA1,TRAF3
117,CXXC4-AS1,CDKN1C,SCUBE1,PSD3
118,TMEM241,DBNDD2,LINC01374,ATXN2
119,LINC02150,SRSF10,GJB2,FHIT
120,POU6F2,SET,ALPL,SGMS1
121,SLC12A5,FAIM2,SCARA5,NR6A1
122,SLC35A1,ARF1,SULT1A2,CLIP2
123,CAMKK2,H3F3B,CLECL1,MED13L
124,AL109615.3,ATN1,CARNS1,SAFB2
125,AC124852.1,AMPD2,DNASE1L3,ATP2A2
126,NCALD,ZMYND8,APOC1,ATP2C1
127,LGI3,HEPN1,AL031073.2,GRID1
128,KCNC1,FTH1,DDX43,TRIO
129,AC067956.1,SYT11,AC113137.1,EPB41L2
