,bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
7518,TMEM11,DDX28,MCCC1-AS1,AP000787.1
7519,LINC00471,DIP2B,AC005162.2,UNC50
7520,AC114271.1,HIF1AN,CU634019.1,ATG10
7521,PYM1,AC100835.2,AC141002.1,DYSF
7522,TNFRSF18,SCN3A,OR2AP1,C1QTNF7
7523,MFAP3,CIRBP,AC093083.1,AL117190.2
7524,AASDHPPT,NSMAF,AC079907.1,COMMD2
7525,AC008063.1,C10orf90,AC023787.2,ATP6V1B2
7526,ZCCHC17,AC007255.1,AC003682.1,TUBA1B
7527,MAD2L1,CCL3L1,NAV2-AS5,SLC9A5
7528,PGAM4,SP3,AL022162.1,SREK1IP1
7529,CRTC3-AS1,TMEM123,CD8A,CPNE9
7530,AC090629.1,TRPT1,TLE7,PLEKHA2
7531,PCMT1,ADAMTSL4-AS1,AC010519.1,LAPTM4A
7532,STK4,CTRL,LINC01845,AC104964.3
7533,TMEM17,ZNFX1,AP003396.1,TRIM3
7534,AC005899.7,ARL4D,LINC02550,AC013652.1
7535,TLCD5,AL121749.1,AC093274.1,EAF1
7536,ZNF667-AS1,AC105052.5,LINC00659,F11-AS1
7537,AC108451.1,HOMER3,AP001372.3,PRRT2
7538,GRIP1,APPL1,OR6C6,AC092329.4
7539,SMIM22,JRKL,AC011005.4,COL4A1
7540,ZNF222,HOXA6,AC007637.1,LINC00342
7541,LINC00184,CLCN2,AC079341.2,PNPLA5
7542,ADAMTS13,TOLLIP-AS1,AL445070.1,SLC9A8
7543,HOMER1,AGO4,AL159158.1,ZNF510
7544,EPO,SAE1,AC036103.1,CGGBP1
7545,UBE2V2,CARMIL3,AL021877.2,MSS51
7546,GAMT,GCC1,AC079414.1,AC002066.1
7547,LINC02040,LINC02755,AC113189.3,EIF2B5
7548,ERVK9-11,CD83,HIST1H3A,CYBC1
7549,PFAS,PLEKHM1,AC100863.1,ARL2BP
7550,PDCD2L,CENPW,RNASE10,DNAJC27
7551,AL160408.5,RGS3,AC025572.1,METTL2A
7552,TPSD1,TNFRSF14,AC012358.1,ZNF697
7553,FAXDC2,ABRA,AL033384.2,ZNF239
7554,ANXA4,PIGL,AC069023.1,KRCC1
7555,PPP1CA,RAP2C,AC024603.1,ALG12
7556,SLC6A16,AC009403.2,GNLY,MTPAP
7557,LINC02125,RRH,GTSE1-DT,PTGFRN
7558,AL139275.1,ARMC5,AC091965.4,NDUFB10
7559,TIMM29,TAF9B,AL157871.5,LINC02021
7560,VN1R1,CYP2U1,AL157385.2,KCNK3
7561,RINT1,DMRT2,AC093655.1,ZBTB5
7562,ZNF3,C1QTNF8,AC093581.1,KRT222
7563,AL353768.2,FLOT2,AC000065.1,AC091138.1
7564,PROP1,AC093249.6,ADM2,SHISA6
7565,PSEN1,ADSSL1,AP005264.3,ZFP62
7566,PSMC3,TBC1D1,AL589745.2,TENM1
7567,AC139768.1,RPS6KA1,AP000753.1,IKZF4
7568,MAFG-DT,DEPDC7,RSPH6A,ZNF711
7569,LRRC42,LINC01429,AC008567.2,LRRC47
7570,SHISAL1,C9orf129,COMP,LRP4
7571,UBXN4,TBC1D25,AL590369.1,KCNG1
7572,AC145207.5,AP001505.1,AC139149.1,CBX7
7573,XYLT2,STX5,OR1L3,CD22
7574,APH1A,GALT,LINC02034,ROBO2
7575,AC007279.2,SPATA1,AC106052.1,SEC61G
7576,RPP21,TSNAXIP1,TPSG1,EMC1-AS1
7577,AC008870.1,HIGD1C,AC090707.2,RNF139
7578,KLHL22,LHX2,AC015977.2,POU3F3
7579,MINDY4B,GOLGA8Q,HOXB4,MBD4
7580,LINC01699,NAA40,AC104793.1,NDUFAF4
7581,PCYT1A,SORD,AC092756.1,ELOB
7582,VSTM2A,PITRM1,LINC02648,ZNF71
7583,XPC,PRMT6,FRGCA,SLC38A7
7584,AC005062.1,WDR63,C17orf98,LINC00663
7585,SNRK,PRR29,AL449983.1,AC006480.2
7586,GYPE,EPN3,AC120498.4,ZNF12
7587,GPR39,TMOD2,IL37,EFTUD2
7588,HCG25,MROH1,HUNK-AS1,SERINC1
7589,AC005606.2,NDUFA9,AC010163.1,EGR1
7590,MTPAP,AC006041.2,AL355816.2,ERCC2
7591,SLC10A4,DLAT,AC005034.3,C4orf33
7592,CNGA4,GPRIN2,NANOS2,KCNIP1
7593,AL136526.1,MEX3D,AC005609.3,GTF2H5
7594,AC004908.3,WDFY3-AS2,CXXC5-AS1,ADGRV1
7595,AC107032.3,SERPINB1,AC108105.1,COPS3
7596,ALG8,STAR,AC012625.1,ERI2
7597,MAP2K5,AL365205.4,AC095056.1,AC020594.1
7598,AP000821.2,BAHD1,AC068831.6,ZNF428
7599,MAPK8,CENPO,CEACAM6,ASCC1
7600,C17orf107,PEX3,OR4P4,SLC13A1
7601,CPS1-IT1,OSBP2,C5orf66-AS1,RAC1
7602,BHMT,ATAD3A,AC015674.1,IFT22
7603,AC016907.2,ZNF696,CAMTA1-IT1,MCL1
7604,GPRC6A,UBE2O,AP000345.1,UQCR10
7605,FSBP,ADCK1,AL138830.2,STRC
7606,MRPS2,EMC8,OR11A1,MAP3K12
7607,AC009118.3,AC242426.2,AC010907.1,PLA2G4B
7608,RDM1,RCE1,AC007179.2,LINC02217
7609,LMNB1,LINC02211,SPDYE17,TOMM40
7610,AC121161.2,TXNDC9,KRT76,TFIP11
7611,PIP4K2A,ALAS1,AL445933.2,LINC01280
7612,CDS2,ACTA1,HOXC9,PLEKHF2
7613,AC087430.1,CMTR1,AC096677.1,KIRREL3
7614,TOMM70,TMC2,AL512785.1,PIGK
7615,AC128687.3,MDC1,AC016885.1,DUSP8
7616,INTS5,CPXM2,AC069549.1,FLACC1
7617,AC026120.3,TMEM170A,P2RX2,CKLF
7618,AL138740.1,CRISPLD2,AL391261.4,DOC2B
7619,GAS6,ZNF620,RBMY1F,RHOT2
7620,AL033381.3,ZNF350,TRBV8-1,NMRAL1
7621,COG6,RABEPK,LINC00462,HYPK
7622,PAQR9,WDR66,OR5W2,GLIPR1L2
7623,AC245519.1,SKA2,IGKV1OR-2,TMEM177
7624,ZNF766,AL512662.2,OR51S1,GPATCH1
7625,LINC00469,CD82,AC016550.1,RPL10
7626,AL627309.3,PAGR1,AC003688.2,EAF2
7627,AC018802.2,TMEM19,AP007216.1,NAA10
7628,AC114939.1,WASF1,AC106706.2,MRPL32
7629,DHX16,AL158064.1,CENPVL1,ZNF354B
7630,AC009269.4,BTBD19,TRAJ49,NUP35
7631,PFKP,MRPL14,AC068880.2,SNRPD2
7632,DENND10,HOXB8,MAGEA9,MED29
7633,AL157392.1,RPRD1B,AC010183.1,ZFP64
7634,UTP6,KIF21A,HIST1H2AA,FAM135B
7635,AC058791.1,NAAA,SSU72P3,HNRNPUL2
7636,TUBB,BPGM,AC098825.1,ALKBH1
7637,AC009065.3,AL158196.1,AC133485.2,TCFL5
7638,SMG6,AC016394.1,IGKV6D-41,ZFYVE19
7639,KRT5,LINC00511,CT45A3,SSU72
7640,LINC02600,PCYT1B,LINC00273,LTV1
7641,SLC22A8,FGFR2,GPR119,JTB
7642,AC004973.1,CAPN13,AC245748.3,SYS1
7643,GGT1,MRPS18A,OR5R1,ZNF573
7644,KDM3B,RIOK1,AL356277.2,METAP1D
7645,YY2,LTB4R,AL161638.1,IDS
7646,AC079466.2,POLE,BX119904.2,RAB35
7647,AC138331.1,AC010967.1,TRAV9-2,CARD19
7648,AC026355.2,ACKR3,TRAV7,MAMLD1
7649,SF3A1,SLC6A12,LCE3C,FGFR3
7650,AC073655.2,AC087164.1,DSCR10,CFAP97
7651,INKA1,CD52,AC095057.2,SPSB1
7652,ISM2,MCM3AP,HDGFL1,LINC02649
7653,MAS1,HLA-C,MPST,MYL6B
7654,SYF2,EXPH5,AC008035.1,AL353746.1
7655,GATAD2B,CECR2,AC006942.1,LRRC39
7656,AL390728.6,ZNF347,AL109924.2,MLLT11
7657,ZC3H15,RUBCN,AL158847.1,KDM7A
7658,LAMTOR5,C1GALT1C1,AL158829.1,TSPYL4
7659,SDR9C7,VAC14-AS1,AC012507.1,AC006387.1
7660,AC084759.2,LINC00634,AL353658.2,ZNF226
7661,SNHG30,AC108488.3,AP001652.1,AGPAT1
7662,NKAP,OSBPL11,CLIC3,GNL3L
7663,AC098969.2,ZNF419,AL359382.1,AC011447.3
7664,AC110285.3,AC022400.4,AL445931.1,ZMIZ2
7665,POLR2I,AC100810.1,Z99756.1,ADCK1
7666,CCDC148,AC027644.3,AL353719.1,LRRC3B
7667,LINS1,CLN5,STARD8,AC012442.2
7668,AC090197.1,SHMT1,HIST1H3J,CNTN5
7669,RBM45,EHMT1,AL645941.1,CHST8
7670,AL354993.2,GSTCD,AC022695.2,KDM5C
7671,AC103808.1,TNFAIP1,ARAP1-AS2,HSD11B1L
7672,VTN,AL137246.2,AC017002.3,HDGFL2
7673,ANKRD55,AC069540.2,AC139426.2,EPHX2
7674,IFNA6,ANKRD30BL,OR10H4,GPC1
7675,SRM,AC008438.1,AC004846.1,MRPS23
7676,AL645944.2,ARF4,AC114550.2,DLC1
7677,SLC52A1,AL034347.1,AC021491.4,APMAP
7678,PCBP1-AS1,SNHG3,AL133319.1,ZFP69B
7679,AC005909.1,LINC00870,AC092042.4,NXF1
7680,IFNA2,AL512357.1,LINC00364,LINC00960
7681,LINC02337,AC104407.1,AANAT,ARCN1
7682,MTX1,ZNF574,AL139280.1,RYR2
7683,AC008798.3,RHOT1,TAAR2,ACOT8
7684,NOTUM,NFYC-AS1,AC106028.2,B4GALNT3
7685,AC148477.1,BBS10,AC016888.1,PTCHD1
7686,AL442224.1,CHST12,KRTAP3-1,TET1
7687,AL365181.1,LINC01622,LINC02593,MRPL4
7688,AL096799.1,GID4,SLURP1,AC087741.1
7689,AC107068.1,NOSIP,AC100803.2,EEF1A1
7690,TMCC1,ZNF865,AC104071.1,NUP50
7691,ADD1,LINC00266-1,AP001434.1,MAN2B1
7692,AC107464.3,LINC02609,AP000781.1,PEBP1
7693,AC092354.1,AC002467.1,SPANXC,ADPGK
7694,LINC00207,ZNF461,AC100858.4,GRK2
7695,KANSL1,TGFBRAP1,BPIFA1,ZNF281
7696,AC013731.1,BFSP1,AL109807.1,TYK2
7697,TXNDC15,GJB1,KRT78,FAIM2
7698,AL109910.1,AC245884.9,AL136320.1,PPT1
7699,AL139260.1,MRPL58,AC004448.1,ARL9
7700,AC005695.1,PRR22,TEX13D,DR1
7701,AKR7A2,AL121821.2,AL354892.2,SCCPDH
7702,AC097375.2,STK16,ISL1,AL158055.1
7703,TRNAU1AP,AC009704.1,AC012564.1,DNAH7
7704,AC090236.2,ROMO1,AL137224.1,UFL1
7705,TPGS2,APC,LINC00944,PPFIBP2
7706,TSPAN33,NAA50,PXN-AS1,AC114971.1
7707,CXCL14,KISS1R,OR6C2,LINC02055
7708,AC004817.1,ZW10,ADH4,AIMP1
7709,MED24,PSME1,AL357033.4,SWAP70
7710,AL031775.2,S100PBP,AL772202.1,GPSM2
7711,MMP17,AC005703.4,AL355834.1,TOMM5
7712,LINC02554,AC087190.1,AL139082.1,MGAT4C
7713,SREK1IP1,ST6GALNAC2,LINC01999,MCM9
7714,GLYR1,MICOS10,AC007652.3,PRKCSH
7715,AC234917.3,HSPH1,AC090124.1,TMEM62
7716,AC112482.2,PARTICL,AL109659.2,MAFIP
7717,NPIPB12,ABHD2,LHX9,DNAJB4
7718,CD163L1,SERGEF,SMIM34B,SGK2
7719,AC007656.4,PRIM1,AC008543.3,CAMK1D
7720,KIF21B,HNRNPD,AC025048.1,XPC
7721,CD101,PDZD2,SPDYE8P,AC009690.2
7722,KCNB2,LINC02730,AL137078.1,CD82
7723,B3GALT6,NFKBIL1,AL590681.1,MPV17L
7724,AL133163.3,MIR181A2HG,AC016737.2,GNAZ
7725,LINC01305,LACC1,C20orf78,CKB
7726,VSIG8,ITGB1,TMEM252-DT,CCBE1
7727,AL109947.1,AL391261.2,FMO3,MEMO1
7728,PIK3R4,COPS2,AC006557.1,PRXL2A
7729,DPP10-AS3,HEATR5B,SLAMF9,AP2S1
7730,ACAD9,ZNF605,PTH,SLC22A4
7731,DDA1,ZNF398,AL138799.2,AC112722.1
7732,ZNF669,INO80B,AL096772.1,PRIM1
7733,FKTN,RAB34,TRBV26,LINC00558
7734,SLC39A9,GBA,AC011509.1,SNRPF
7735,EDF1,AC004870.3,DENND2D,AC008696.2
7736,AC104971.1,ZNF571,AC002529.1,MORC2
7737,FATE1,FOXK2,UCN2,GLRX5
7738,AQP7,AC145207.5,NLRP12,ALDH6A1
7739,UBN1,ZNF330,RBP3,LINC00299
7740,AC110751.1,PABPC1L2B,AL049836.2,POFUT2
7741,LRRC17,ZNF451-AS1,LINC00456,AC116552.1
7742,CHEK1,DNAJB11,APOA4,AL162431.1
7743,AC245140.2,TNIP1,MRC1,OPA3
7744,AC242426.2,SLC5A6,MPZ,TTYH3
7745,AC026150.3,TIE1,SLC25A21-AS1,TMBIM6
7746,NOP2,MON1A,M1AP,MGST2
7747,TMEM87B,FAM200A,IDO1,UCHL1
7748,DYNC2H1,AC125494.2,AC010677.2,FER1L5
7749,NETO1,LRRC61,IFNG-AS1,RILPL2
7750,NODAL,RAB11B-AS1,AC017000.1,DIRC3-AS1
7751,AC093791.2,SIGLEC9,LINC01127,SETD1B
7752,OR1L8,TREML1,AP003119.1,AC093865.1
7753,RPP30,ARFGEF3,AC007326.2,ABHD8
7754,ANKS4B,APEH,AL157400.2,AKIP1
7755,DLG5,CLEC18A,AC010247.1,RBBP8
7756,MAGI3,AC102953.2,AC092652.3,SPEF2
7757,KEL,PLPP7,OCSTAMP,LINC00535
7758,FGF8,SP9,AC009113.2,KIAA1217
7759,LINC01370,PLD2,AC011726.2,AP002748.6
7760,ZNF839,ADRA2B,AC008278.1,OTUB1
7761,AL031118.1,TAF11,AL731557.1,SLC22A17
7762,AC026369.3,CEP41,AL662844.3,CA13
7763,AC105219.4,QRICH1,SPEM2,PLA2R1
7764,RESP18,SMARCC1,AC016999.1,KCNA4
7765,AC087742.1,ETNK1,AL450226.1,KAT14
7766,ATL2,PSMA1,KCND3-AS1,VPS35
7767,ZNF57,AC010542.2,IL1RL1,RNASEH1
7768,GRM7-AS1,ALOX5AP,AC016825.1,PPP1R3E
7769,LINC02679,EIF3C,AC027129.1,KAT8
7770,POC1B-AS1,MORF4L2-AS1,AC131159.1,C12orf75
7771,PRCP,AC012020.1,DOK2,TMEM163
7772,PCED1B,PLSCR3,AL035412.1,CALD1
7773,KCNMB4,FAM189A2,HK2,DIPK2A
7774,AC243571.2,SLC16A8,AL445363.1,TRIM62
7775,AL929236.1,AP000331.1,AC023866.1,AL645465.1
7776,KCNH7,CHD9,AL158038.1,PDZD4
7777,ZNF77,PNMA3,AC093627.3,SNRNP27
7778,AC092353.2,MREG,ZNF32-AS1,GOLGA7B
7779,CREB3,NSG2,AC068898.2,NDUFB7
7780,AC092617.1,DENR,STPG3,AC005726.1
7781,NCAPD3,DIRAS2,AL590483.4,WDR53
7782,AC025756.1,YBX3,AC100782.1,RAPGEF5
7783,MRPS12,TRMT13,AL136038.2,SATB1
7784,ZNF785,IKBKG,LINC01668,TOPORS
7785,WBP11,RETREG3,AP001469.2,KLC2
7786,AC105940.2,PPIP5K1,AL445989.1,PCCA-DT
7787,SMCR8,AC109322.1,AIM2,OSGIN2
7788,UQCRFS1,WDTC1,ADGRG6,RING1
7789,AC127164.1,OR2H2,AL391840.1,METTL4
7790,METTL2A,ASTL,HOXC4,NAGK
7791,CNOT8,CCNT1,AL391839.3,LGI4
7792,SPATA2L,AL031121.2,OR2W3,AKAP5
7793,HAUS2,SCARF1,MYL4,FADS3
7794,LINC01362,CACNG8,AC023946.1,ZNF606
7795,AC079766.1,AC105053.1,AC006972.1,MMP25-AS1
7796,C11orf97,ZNF555,RASA3-IT1,RPL8
7797,C9orf116,LINC01018,AL022238.3,STMN1
7798,ARL2BP,ADD2,LINC02599,ZNF732
7799,SHISA5,ADPGK,AC011899.4,MTMR2
7800,AL031595.3,AC099332.2,AC092809.4,VCPIP1
7801,FER1L5,RHNO1,TPPP2,GP1BB
7802,BACE1-AS,PI15,AC021506.1,CTSF
7803,LINC01863,AC092747.1,AC105020.2,YKT6
7804,ERICH6B,AL161734.1,LINC00955,AC021752.1
7805,AC044802.2,AC069209.2,C2CD4D,FAM241B
7806,AC079177.1,ZC3H7B,AP002358.1,STK11IP
7807,LINC00578,SAXO2,Z82173.1,AC079140.6
7808,KCNK15,AL592183.1,AL078581.3,AGBL5
7809,NPHP3,MMP15,AC108199.1,PNMA2
7810,CNIH2,FGF7,AL132639.3,PILRA
7811,TRIM11,TRMT1,IGFLR1,CDK19
7812,CCDC116,FCGR1A,DOK1,NUMA1
7813,AC007405.4,MFSD1,TBX4,DPCD
7814,ECHS1,SPAG16,AC137590.2,RBBP7
7815,SRSF8,RPIA,CEACAM21,MIER3
7816,Z85994.1,DUSP11,DSPP,AKR1E2
7817,AL109837.3,APEX2,AC084291.1,EEF1G
7818,AC004023.1,LINC02150,AL592463.1,TOR1AIP1
7819,AC005730.2,HOXB3,SOX21,CELF2-DT
7820,AL590428.1,DENND6A-AS1,AL162727.2,NFKBID
7821,AC066580.1,LINC00310,AC034232.2,SHISA5
7822,SHMT1,AC011330.2,ODF3,ETFDH
7823,ZCWPW1,SLC7A1,LINC00709,BRINP3
7824,CR936218.2,BNIP3L,AC011524.2,ADAM12
7825,UTP15,C1QTNF3,AC009145.2,FBXL19
7826,AP4B1,ZNF74,AC091043.1,MIR137HG
7827,ZNF280B,KCTD3,AC108517.2,TAF7
7828,NWD2,LINC02551,AC013401.1,PLCB4
7829,LINC02785,ELMOD2,AC130888.1,ARF1
7830,LINC02418,BTBD2,DHFR2,MIPEP
7831,AC011478.1,DNAAF1,LINGO4,AGAP5
7832,BLOC1S2,FAM171B,LINC00408,C5orf51
7833,GNPAT,CDH19,S100A10,TRIR
7834,AC023158.2,CDR2L,AC005160.1,SDHAF3
7835,KRT83,AMFR,AL645941.3,AL158151.1
7836,AC243829.4,RNF115,AL358612.1,MYO5C
7837,AL049812.2,GAB1,FRK,TRPC4
7838,TIMP2,LGALS1,AF230666.1,RASSF3
7839,BORCS8,MMRN1,AC124248.2,ITGB1-DT
7840,C1orf35,NFATC4,OR8S1,LIX1-AS1
7841,AL160313.1,LINC01140,LINC00297,AMT
7842,MOSPD1,PATL1,SEMG2,WHRN
7843,AC034234.1,TNKS2,LINC02713,KDM3A
7844,AC079140.6,ZNF213-AS1,LINC01185,BACH1
7845,ADAMTS19-AS1,GALNT16,AC244517.4,ANGPTL1
7846,LINC02219,CLIP4,AC021035.1,EHBP1L1
7847,NAT14,IGSF10,AL512274.1,ISY1
7848,AP000688.1,SAMD8,AC074325.1,LSG1
7849,LINC01727,CDC16,AC091965.1,HUS1
7850,BRPF3,PPP1R16B,F2,LARP7
7851,INAFM1,FOXO3,PLSCR5,MDH2
7852,BX842242.1,USP37,PRAMEF9,DCAF12
7853,AL354694.1,ZNF561,AC022613.3,NRIR
7854,AC018653.1,TTF1,AC063943.1,GTPBP1
7855,AC113382.2,GNG8,GAGE2E,C3orf14
7856,AC092636.1,AL512328.1,AL137786.3,KIAA1191
7857,HDAC5,RTEL1,AL356289.1,GTF3C5
7858,AC127024.2,RRS1,CLLU1OS,C2orf42
7859,PTK7,DNAJC17,CXCR1,PIGF
7860,AC011444.1,LINC01099,AC005479.1,LINC02482
7861,AC105429.1,LINC01640,MUC19,MTUS1
7862,AL513548.3,MTERF3,AP001178.1,AC139100.1
7863,SCTR,IPO9-AS1,AP001885.2,KARS
7864,AC018653.3,AC064807.1,AC008601.1,AC007376.2
7865,AL162718.3,LINC01561,AL671883.3,DCAF4
7866,LINC01639,STK4,LINC02537,AC091885.2
7867,AL121829.2,ZNF324B,AC027607.1,CLTB
7868,AC005495.2,NAGPA,AL031768.1,RUNX2
7869,AL033380.1,MED15,AL121750.1,AL031280.1
7870,NEPRO,ZNF35,NAGS,TXNRD2
7871,MRPL49,USP31,AC113192.1,BSG
7872,ERCC6,GRHL3,UNC45B,TOMM6
7873,AC005091.1,SIAH3,LINC00561,RNF187
7874,AC024243.1,UBXN10,LINC02739,LINC00222
7875,EIF3A,FBXO10,LINC00550,FBXL13
7876,AC114730.2,ZNF92,AL593844.1,CZIB
7877,AC074044.1,MRTFB,LINC00208,TJP2
7878,AC246785.3,TUT7,TNS4,VSIG10
7879,TRPC4AP,SCGB2B2,LINC01796,ANKRD50
7880,GPX7,AF111167.2,AC078916.1,AL450384.2
7881,RPS3A,AL672277.1,LINC01506,ZBTB40
7882,CHFR,ANGPTL1,AC092580.2,SH3BGRL
7883,KCNH1-IT1,FZD5,AP001020.2,B3GAT3
7884,AL023882.1,PTK2,CD300LF,POC5
7885,AC007099.2,AC090772.3,AC022166.1,DTX3
7886,MSH3,STAM-AS1,AL353771.1,Z68871.1
7887,RNF5,EFEMP2,IGHM,SPTY2D1
7888,WDR19,CACUL1,AL589986.2,SLC22A5
7889,NPHP3-AS1,AAR2,AL359547.1,ADAMTS14
7890,AC114546.2,OSGEPL1-AS1,LMNTD2,MRPS33
7891,SLC39A10,AP004147.1,AC010468.2,DHPS
7892,SNX10,KCTD11,AC012081.2,PALMD
7893,CDADC1,CPEB1,WDR72,TCF3
7894,ZNF41,DHX57,AC090155.1,RNF207
7895,AC090772.2,GLIPR2,AL023806.2,GEMIN7-AS1
7896,LINC01345,LAMTOR5-AS1,AC026310.2,HGS
7897,AL355001.2,AC107464.1,TLR8-AS1,IVNS1ABP
7898,AC104066.4,RCAN3,AP001109.1,CNTN3
7899,AC022413.2,LSM7,AC074254.2,SMARCC2
7900,TMEM42,INMT,AP001596.2,ZNHIT3
7901,AC064807.2,PSMA3-AS1,AP001056.2,ARFRP1
7902,AL136985.2,ZXDB,AC023200.1,ZNF334
7903,CEP76,CCNA1,Z82243.1,AVEN
7904,RALY-AS1,LINC01574,AC008894.2,GLT1D1
7905,UBE2Q1,AC107214.2,AP003123.1,WDR1
7906,NIFK-AS1,IL21R-AS1,LLCFC1,RMDN1
7907,RPL10,FUT1,SPATA8-AS1,PPP2R1A
7908,AL136317.2,MTSS1,AC016229.1,TMEM183A
7909,SSR2,SPSB1,SMIM40,AC061961.1
7910,RC3H2,FAM98B,AL596330.1,SORBS3
7911,AC010207.1,AC013553.4,KRT34,COG2
7912,AC067945.3,EIF2B3,AL512358.1,AC092683.1
7913,ADRB3,HAUS5,AC131009.3,C4orf48
7914,RAB3GAP2,TOR1AIP1,LINP1,TMEM223
7915,WDR7-OT1,BYSL,BHMT,USP11
7916,Z99716.1,AC146944.4,LINC02134,RCC2
7917,SCART1,ISYNA1,AC073352.2,TMLHE
7918,AL583810.1,DTX2,AL713998.3,C1orf50
7919,RNF157-AS1,SLC7A10,AC104453.1,EZH2
7920,AP005242.5,GABRA1,APOA5,ZNF184
7921,PANX1,PPM1M,AHSG,DNAH9
7922,PPP1R14A,JDP2,CCDC172,LLGL2
7923,AC104117.3,GAGE10,AC234917.1,PAK1IP1
7924,PEX5,AVEN,PRKCZ-AS1,MFAP1
7925,AC069540.2,AC109597.1,AC139099.2,PGK1
7926,ETDA,MSL2,DAPL1,PMM1
7927,SEMA3F,KIAA0040,AC131009.2,CLN8
7928,REXO5,FNIP1,AL691515.1,TRAFD1
7929,PARP11,AC092849.3,PPIAL4A,RNF7
7930,AC007406.5,NME6,OR5C1,TFAM
7931,IDH3B,NHLH2,U47924.1,CXXC4
7932,SCHIP1,RHOG,LINC02852,PPP1R3F
7933,AC009570.1,ZNF264,AP005233.1,GFRA1
7934,AC006063.3,FIZ1,AC019193.3,SAP18
7935,AL359764.3,OSBPL7,CTAGE4,NSG1
7936,C8orf58,LHFPL5,SPATA8,ATG12
7937,RASAL2-AS1,ASPRV1,AC092849.2,EMC7
7938,AC099681.1,AC007106.2,ESRP2,IER3IP1
7939,FIZ1,C11orf16,AL390254.1,BSCL2
7940,AC027018.1,FAM53A,CD19,GRK7
7941,AC044840.1,AC004854.2,AC018697.1,ENPP5
7942,PCLO,AL845311.1,AC007493.2,SORCS1
7943,ASAP1-IT2,ZC2HC1C,HOXA2,ABCB7
7944,CIB2,TTC30B,AL157402.1,POLR2D
7945,CDK16,CDK5R2,AC074254.1,THBS3
7946,AL357509.1,AC022382.1,AC002464.1,ZNF641
7947,FP236241.1,AL035252.5,AL365204.2,LURAP1
7948,PRKAR2A-AS1,LINC01164,AP002755.1,RTRAF
7949,ANKRD33,SAYSD1,TLCD1,ENOPH1
7950,OR6C76,LINC01359,WSPAR,CLPX
7951,KIFC3,NUDT4,AC092435.3,SSR3
7952,PLGRKT,ZNF45,AC102797.1,ANP32B
7953,EVPL,NFYA,AC244153.1,VMA21
7954,TRIT1,DNAJC24,ADGRG4,ARL5B
7955,NLGN2,SLC35C2,AL161896.1,SNHG7
7956,AL662884.5,SEH1L,BX322557.1,TBC1D25
7957,SLC22A17,NUBPL,AP000867.5,LZTR1
7958,SLC9A3R2,AC009063.3,AL445584.2,NKAPD1
7959,GRM7-AS3,CHN2,CALML6,MELTF-AS1
7960,CCDC130,AC093797.1,BGLT3,ZBTB44
7961,GTF2H3,KCNMB1,LINC00945,PIGL
7962,AKAP5,KLHL5,AC006435.1,PDE1B
7963,IL11,TMEM159,HOMER3-AS1,USP38
7964,AC135012.3,KDM5A,AC002458.1,ZMYND8
7965,LARS2,SLC20A2,AC126763.1,COLGALT1
7966,AL049552.2,CTF1,AL080313.2,TXNDC9
7967,AC073071.1,DPM3,AC007952.7,AL445250.1
7968,TSTD3,ZNF417,MLNR,KCNK9
7969,OR2T6,PLEKHA6,AC005551.1,IL17RA
7970,RIMBP2,KLC3,ALPG,B4GAT1
7971,AL513324.1,MRM3,PRSS1,AEN
7972,POLR2A,ZNF599,SRMS,EPHB6
7973,AC105101.2,AL137140.1,AC011497.1,BCL2L14
7974,AC073052.2,LINC00323,AC138969.3,TCF7
7975,GFRA4,TATDN2,CXCR3,GPS2
7976,AC092653.1,RPP25L,AP002761.4,TBC1D10B
7977,AL356108.1,GNS,AC007656.4,PIGB
7978,AC005329.1,LRAT,APLP1,CDC25B
7979,STK19,STKLD1,ZNF114,SLC9A3-AS1
7980,TCF19,NIF3L1,AL133243.1,KIAA1257
7981,WDR86,CHKB-DT,FBXW10,LIPA
7982,LRRC26,FAP,AP001065.3,POU6F1
7983,NPPC,AL359921.1,AC020910.2,AL049779.4
7984,GNG13,TOR1B,ZNF492,FAM198B-AS1
7985,PIPOX,NSUN7,AC005789.1,NDUFS7
7986,GRPEL2,GP1BA,AC087667.1,CNTFR
7987,AC137735.1,UNK,AC093714.1,LAP3
7988,GJB3,TRAM2-AS1,AL031767.2,KHSRP
7989,AL096828.2,PLPP6,FGF21,TRIM65
7990,AC005670.1,HOXA7,SSX1,AC027682.4
7991,AL031728.1,BIVM,AL157813.2,TRO
7992,AC020661.2,AC005899.8,AC009403.3,C8orf33
7993,MIR1-1HG,ITIH2,AC068492.1,SPRY4
7994,POLR2J3,ALG8,AC006273.1,HEPACAM
7995,RPS19BP1,FAM133A,AL513304.1,TFEB
7996,AC005252.4,POGLUT3,DAOA,BMPR1B
7997,USP4,AC009812.4,AC012555.2,CIT
7998,SGCE,AC016876.1,AP001271.1,CANT1
7999,AC027307.1,TCIRG1,AL590723.1,AIFM1
8000,AC127024.3,OPRM1,AC020900.1,TEX29
8001,KRT33B,PIGG,AL513524.1,FAM189B
8002,AC140118.2,AL358072.1,AC026458.2,AL353743.2
8003,BX537318.1,AC007292.3,AL121888.1,ARMC1
8004,ZNF148,HINFP,IL1R1-AS1,TSPYL2
8005,AC004846.2,AL157893.2,LINC02776,AL355574.1
8006,MED9,FARP2,AL356123.1,AP002381.2
