earlyAD,lateAD
AC009435.1,FKBP5
MTRNR2L8,VCAN
KIAA1211L,PLCG2
AC105402.3,LIFR
RAB3IP,SLAIN1
TPST1,EGFR
SORBS1,SPARCL1
MALAT1,GALNT13
SAMD4A,DOCK5
PMP2,MKLN1
KIAA0040,PARD3
MATN2,CNTN3
GFAP,XIST
GPNMB,TAFA1
CLIC4,MT-CO3
TIAM1,SAMHD1
HAP1,MT-CO2
PLPP4,NCAM2
STAT3,PHYHIPL
PITPNC1,ZFPM2
TANC1,CEBPD
ADGRG7,MT-ND3
IGSF9B,PCDH9
NEAT1,NRCAM
BEST3,ERBB4
ABCA1,AC093865.1
ETV6,PDZD2
SLC24A2,CDH20
GAPDH,CSMD3
GAP43,MT-ATP6
TNFSF13B,ATRNL1
MIAT,KCNMB2
PLAT,PPM1B
ACTN1,MT-ND4
UBASH3B,CADM2
CKB,HP1BP3
TNC,ADGRB3
PDE8B,NFKBIA
CD81,MARCKS
KCNQ1OT1,NLGN1
CTNNA1,CHST9
APOL2,MT-CYB
KCNH1,TCF4
CAMK2D,ITGA8
MYO16,SLC38A2
FGF14,HDAC4
AC009975.1,ZBTB20
HNRNPA2B1,GRM7
SPRED1,RASD1
RAPGEF5,SEM1
APOD,IKZF2
NCOA1,FAM13C
OSMR,SGK1
AC023282.1,FGF14
APP,RFTN2
CLU,BRINP3
ST6GAL1,ADGRL3
XIST,ZMYND8
ANKRD10,KCND2
DIP2C,STK32A
LMO2,MAP1LC3B
SNAP25,LRRC7
SH3PXD2B,CNTN1
SORCS1,KHDRBS3
APBA2,SLC24A2
MACF1,ZBTB16
DDX24,EEF2K
MT-CO1,LMO3
F3,GDAP1
GALR1,DGKG
IL6ST,ARHGEF6
UPF3A,KIAA1217
FTH1,METTL7A
RDH10,MT-ND1
PAXBP1,RAB10
ITPKC,SOX5
ALK,DUSP1
ABHD2,GABRB1
MARCH3,PLD5
FAM20C,DST
CARS,MAP2
GLDC,MT3
WDR60,GAPDH
GNAS,DPH6-DT
SPOCK1,GRID2
SLC25A27,TNKS
GAD1,PTPRJ
DOCK5,HIF3A
MIR100HG,ATP13A4
LUC7L3,TLE1
VEGFA,HDAC9
NRCAM,FIGN
LINC02268,ZSWIM6
SNED1,LRP1B
SLC7A11,RXRA
KALRN,AKT3
PTPRZ1,MGLL
TRIO,KANSL1L
AL354740.1,PHACTR3
BAALC,KIF19
SPARCL1,FTH1
CSMD2,PHLDA1
IL1RAP,FBXO31
ZFPM2-AS1,FER
CD63,CD81
ATRNL1,GRIK2
LPIN1,APOD
IFI16,GPM6B
ITM2B,TSC22D1
HSP90AA1,RTN1
HDAC4,PPP1R12A
TNIK,FAM214A
FTL,GAB1
PNISR,ALDOC
LINC01117,RFX3
SYN3,NLGN4X
CALM2,GPRC5B
RYR3,SLC5A3
TPT1,RNF150
SLC1A3,MRPS6
TRPM3,LRRTM4
PAX8-AS1,ETV1
NAV2,CPEB4
MEG8,NRXN1
MAP1B,ANK2
AKAP12,LINC01322
ARHGAP21,KIAA1958
RELB,ARAP2
SHISA9,KCNIP4
PFKFB3,GRIK1
HRH1,MDGA2
ATP1B2,GRIA4
HSPA12A,TAPT1-AS1
LDLRAD3,MPDZ
TVP23A,DMD
RNF157,DISP1
ENO1,MT-ND2
MPHOSPH8,PCDH7
ARL17A,KCNQ3
KMT2C,OXTR
MEIS2,BAZ2B
AC091078.1,SRRM2
DDX5,NPAS3
ZDHHC14,MBNL1
NLRC5,GNAS
ATP2B4,CRISPLD2
GAS7,ALK
EMILIN2,MIR99AHG
RPL3,IL1RAPL1
GALNT2,C16orf95
LINC01515,UBB
AHCYL1,NBEA
SLC22A23,SPECC1
PRIMA1,PDE4B
PTPRJ,MTRNR2L8
ALDH1L1,QKI
GTF2I,ADARB2
PKNOX2,MYO5A
PDPN,CSMD1
PLEKHA4,RAMP1
ARGLU1,FGF12
PGAP1,PPA2
SRRM2,MTRNR2L12
RBM25,MAPK10
TCF25,PEBP1
GRIK3,PIK3R1
GBP2,ALCAM
PLEKHG4B,CNTNAP5
SRSF11,CHST3
COL4A2,CADM1
SEC14L2,TMEM100
SETD5,SMOC1
FKBP5,SYNE1
INPP5F,SCN1A
BCL6,MT2A
ARHGEF3,PLAAT1
PREX1,DIAPH2
RASSF4,CALN1
NPAS3,ABLIM1
SPATA13,ZHX3
PODXL,COL9A1
RCAN1,FAM13A
PTPRE,MT1X
ZNF608,MIR2052HG
MAP2K3,ASCL1
CEBPD,ACAN
AC092691.1,HSP90AA1
HLA-E,LMO4
CNPY2,SELENOP
MT-CO2,FAIM2
GRIN2A,CSRNP3
SYNM,PDZRN4
RALGDS,SLC25A18
EMP1,ZNF608
KHDRBS3,TCF12
KIF1B,LINC01117
NELL1,HIST1H2AC
GNA12,AC007106.2
SNHG14,DIPK1A
SLC35F5,CXXC4
ABR,MXI1
AFAP1,RGCC
BATF2,VPS13C
EIF4A2,ATP2B1
CLIP2,PCDH15
WARS,CAB39L
KDM7A,SGMS1
DGKG,PIK3CA
PKM,ATP10B
TMEM132C,CDH10
SULF1,OPHN1
CIT,MCTP1
MARCKSL1,TMEM132C
PRRC2B,RAD18
ANKDD1A,CDH19
LINC01578,MIR181A1HG
DDX46,SEPTIN7
MKLN1,SLC1A2
IRF1,HS6ST3
MEG3,RASSF4
GPC5,NFIB
LINC02821,ACTB
UHRF2,CAPN2
WDR11,PRKACB
ZFPM2,KAT2B
IL6R,ZFAND5
CAPN2,OLIG2
FREM2,MAGI2
CAMK2B,UNC5C
TPI1,PTMA
MTHFD1L,LRRC4C
NEK6,AC011246.1
KCNIP1,UBA6-AS1
BMERB1,ZDHHC14
KCNQ3,AC006148.1
ARHGAP42,THRB
P4HA2,RCBTB1
ASAP3,RHOU
RPS4X,MAPT-AS1
TEAD1,PDK4
MAPT-AS1,HIP1
ZNF708,RORA
LRRC8B,CTNND2
MARK3,CHL1
UBA6-AS1,TMEM161B-AS1
PRUNE2,CALCRL
CHL1,ZNF704
RETREG1,DOCK11
CDH11,PRKX
CERS5,GRAMD1C
TYRO3,DNER
SLF2,ITM2B
SORCS3,CTNNA2
SPRED3,SOX8
AC124254.2,KCND3
TNS1,AL589740.1
AC007001.1,HTRA1
RAB10,KLF15
RFX4,AGMO
RPL7A,IL6ST
HK1,MPHOSPH8
CSNK1A1,COL11A1
G0S2,PANTR1
EIF4A1,ZBED5
TARBP1,CDC42BPA
MPRIP,GUCY1A2
CDK14,P2RX7
FNBP4,ATP1A2
LYST,SIPA1L1
CHST9,DDIT4
NEURL1B,FLRT2
PSAP,NOVA1
NOVA1,CST3
KCNMB4,EID1
MYO7A,KCNN2
PTK2,ZMAT3
LRRC7,LPL
NMNAT3,BCL6
DNM1L,GRIA2
ESRRG,SNX13
LY6H,CSGALNACT1
HIBCH,SLC8A1
MIR34AHG,CNP
NMT1,TXNIP
MT-ATP6,SLC9A9
YBX3,CCNH
DST,BCAR1
KLHDC8A,HS3ST1
UBE2E2,DAB1
RPS2,LRRTM3
TNFRSF1A,AC009975.1
SFMBT2,H3F3A
CACNA1D,ARHGAP21
FBXL5,BCR
KANSL1,SLC7A11
ATP1B1,NCOA1
ARL4C,SGK3
GFPT2,GPNMB
NTM,SLC25A27
FABP5,NIPAL2
GAB1,YWHAB
PRKCA,TBC1D5
MYRFL,TRPS1
TSC22D4,PAPOLA
MT-ND1,NAV3
CALD1,SEMA3E
SUSD6,CAPN7
NME3,FOXP1
SPECC1,MBNL2
LINC00513,KLHL24
CORO2B,ATP2B4
STK3,ZNF365
OSBPL1A,ANKRD55
H3F3B,LRRK2
ARRDC4,MBD5
SFXN4,PDE4DIP
RPS18,SPOCK1
MXI1,KLHL4
GPI,GRM5
MICALL2,LINC01578
GABRB1,VWC2L
MRPS6,ADD3
CAMTA1,RAB31
UBXN4,GLCCI1
RPL19,ARPP21
MTG1,CRB1
YWHAB,FTX
RPLP1,PTPRZ1
RTN4,SLC2A13
TRIM9,DNM3
KAT2A,STK17B
LFNG,CRADD
DNM3,PDE7B
PDCD7,FHIT
RCAN2,TFDP2
SLC35F1,MKLN1-AS
BHLHE40,L3MBTL4
SEMA5B,NEGR1
PDE4B,LINC00844
EEF2K,DMTF1
DTNA,FRY
CCDC50,SNAP25
KCNQ2,PON2
ANKRD17,TTLL7
ZRANB2,MT-ND4L
RELL1,PDE8B
NRP2,TYRO3
CLIP1,AC105402.3
GGT7,PRKG2
RAB5A,RALYL
ADD1,MAP3K5
LARP4,LPP
VCAN,RICTOR
MFAP3L,PEAK1
PVT1,ZFPM2-AS1
GRIA2,OMG
DDX17,MAF
SERPINB6,BCHE
ASAP1,SATB1-AS1
CDYL,SLC35F1
STAT5B,CDH18
PHC2,ROBO1
GRM7,POU6F2
HAS2,SNTG1
ANXA5,CLK1
GPR162,CCDC50
UBR5,NELL2
DICER1,RALGPS2
AKAP13,ADIPOR2
CIITA,NIPBL
FOXJ3,MYT1L
NBPF26,HSP90AB1
SHROOM4,PDGFRB
PIP4K2A,DGKB
WDFY2,PLCB1
C20orf194,DLG2
IQCJ-SCHIP1,KCNIP3
ACAN,DPP10
MAP4K4,BCKDHB
ADAMTSL4-AS1,AC016831.7
PPFIBP1,FMO5
KMT2E,ZDHHC21
PBX3,TSC22D4
KCNQ1,STIM2
BRD4,ENHO
AHI1,ARID1B
MT-CO3,TOX
WSB1,ZEB2
COQ8A,MARCKSL1
SLC39A14,PRUNE2
AQP4-AS1,RNF144A
