logFC_(Intercept)	logFC_BMI_norm	logFC_msex	logFC_pmi	logFC_ADdiag3typeslateAD	logFC_ADdiag3typesnonAD	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_BMI_norm	se_msex	se_pmi	se_ADdiag3typeslateAD	se_ADdiag3typesnonAD	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_BMI_norm	p_msex	p_pmi	p_ADdiag3typeslateAD	p_ADdiag3typesnonAD	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-10.8850237944102	0.538374280213354	5.34973951167903	-0.0036769847166209	-0.238375485141308	0.0641660504152306	6.75200371682166e-06	-7.30091442398505e-05	0.0690866403765282	0.0535537835573168	0.150373578755252	0.00689762502318873	0.16755783300672	0.11531266889025	3.87995553599263e-06	1.80428091437681e-05	0	8.91446540935134e-24	3.25539066497647e-277	0.593978326532898	0.154838794592951	0.577901394421368	0.0818191512900711	5.20024506285111e-05	36493	USP9Y	1.60977416362066e-19	0.538374280213354	0.462415540470809	0.113467211117763	1	NBGMM (LN)
-10.5510750264275	0.444476085457709	5.54520759993738	-0.00295468831399874	-0.00910472337480953	0.00500281342298309	5.67802549119021e-06	-5.90116182178224e-05	0.0618187364771415	0.0481067115738497	0.130718456457079	0.00672480283441274	0.150709951246356	0.100838491046745	4.35935407975335e-06	1.90336214638353e-05	0	2.47934619056963e-20	0	0.66039220082966	0.951827322879316	0.960431471531839	0.192748119538473	0.00193267062410274	36514	TTTY14	2.23860167546532e-16	0.444476085457709	0.369392088946255	0.209582265418974	1	NBGMM (LN)
-10.9443670497204	0.448372050956728	5.28508899681265	-0.00689852176219847	-0.130650116273343	-0.0118035687142781	3.29546264326217e-07	-9.72469386047622e-05	0.0692612732571178	0.0522833179932853	0.147696590940569	0.00733310796656242	0.159786942127134	0.108349266132085	5.01197443063833e-06	2.20826855037591e-05	0	9.83877767265844e-18	2.00017233679936e-280	0.346839948407065	0.413555913682639	0.913250082493522	0.947575443249324	1.06388606204138e-05	36501	NLGN4Y	5.92228824042887e-14	0.448372050956728	0.405439721438351	0.204080851554761	1	NBGMM (LN)
-11.2134436019066	0.297516010597822	4.77721775919898	0.00239939637719127	-0.192063249038245	0.0467906402858971	7.52625875649353e-06	-4.8350313152935e-05	0.0657699515428641	0.0451167208017174	0.133125353145416	0.00642176852978948	0.136269691051351	0.0885431558151411	4.85995566870045e-06	2.31033861536403e-05	0	4.27087096437636e-11	5.21530031143203e-282	0.708676018927105	0.158706630687901	0.597186966638752	0.121471402164535	0.0363687644187696	36496	UTY	1.92808469686771e-07	0.297516010597822	0.264646036561535	0.0996777498549844	1	NBGMM (LN)
-10.1336717817627	0.165164499346257	3.61280115965431	-0.0053531188677121	0.0191891672077509	-0.0279939614009141	-3.43334955587462e-05	-2.15141253005587e-05	0.0426319426261722	0.0375912023785898	0.0852991808941524	0.00615135878358083	0.119689359598531	0.0823147005341505	1.03188896215896e-05	4.09143067386175e-05	0	1.11437115694811e-05	0	0.384172777936667	0.872625259731007	0.733792824285491	0.00087708561730139	0.599003689463048	36460	PCDH11Y	0.0402466287043379	0.165164499346257	0.228251722013803	1.81344204882186	1	NBGMM (LN+HL)
-10.3162701175022	-0.0876482616902932	0.0385502111874413	0.00158904343587109	0.0483893603088639	0.147035722246045	5.67678098768381e-06	-1.97699195667605e-05	0.0261027519011477	0.0204707865468323	0.0421949893992998	0.00475801625705005	0.0624848340258675	0.0471051294300191	7.3436151177159e-06	3.41394393492504e-05	0	1.85532222580924e-05	0.360916242458169	0.738400809572069	0.438683830688223	0.00179970382860641	0.439508962472154	0.562526240906293	17811	MPP7	0.0558390145894389	-0.0876482616902932	0.00903161910536445	0.785944418103146	1	NBGMM (LN+HL)
-13.7064237790666	-0.544978654837921	-0.0313099874037154	0.0336598977585242	-0.867024123793971	-0.0431477503561738	-3.06645727268812e-05	-4.07353765222009e-06	0.133477749597181	0.129769086640388	0.235138699110776	0.0230550700922354	0.380099991908156	0.251610337449278	3.78374036097104e-05	0.000163501358693343	0	2.67383294255247e-05	0.894070482758482	0.144296088939714	0.0225459495365546	0.863841325196657	0.417692994686843	0.9801232441821	18098	LINC01515	0.063629641932373	-0.544978654837921	1.06814342158591	9.73988231489399	1	NBGMM (HL)
-11.8036604575326	0.165861031863717	4.45958497821878	-0.00436338067538874	-0.145624951428888	-0.138397455794864	2.58335356187077e-05	-0.000200802446180449	0.0844531329177216	0.0396074323901818	0.167706235581344	0.00722913358796343	0.118747575391424	0.0730987845873014	8.47875169724105e-06	3.81065991340692e-05	0	2.81890096056587e-05	8.47938341788577e-156	0.546121052584524	0.220070596851588	0.0583188453121046	0.00231248450806721	1.36801306652499e-07	36519	TTTY10	0.063629641932373	0.165861031863717	0.113069439255769	0.523623656675199	1	NBGMM (LN+HL)
-13.8719746575346	-0.459728656828221	0.169456925478622	0.0247639012491041	-0.603164729415641	-0.157303512260176	6.71976634059764e-06	-5.33289639208169e-05	0.136306412784863	0.112606790119217	0.219698173007083	0.0191201670598551	0.331007523017815	0.233355626029274	2.96385844069783e-05	0.00014459035399746	0	4.45343398528594e-05	0.440519085906537	0.195260969470076	0.0684233519487296	0.500251867444245	0.820638680434117	0.71225596975551	23837	AC244502.1	0.0893556787847705	-0.459728656828221	0.747722349574253	1.7719355991704	1	NBGMM (LN+HL)
-11.6103933151682	0.217691918405463	-0.019704642037692	0.0124472789120416	0.185693194052078	-0.198124901256385	3.04253471335708e-05	0.000134904295368146	0.0634364315471097	0.057325531651492	0.116714881605927	0.0127373892999296	0.169597936037568	0.130642075246924	1.82773568159804e-05	7.98026522979258e-05	0	0.000146181163805912	0.865932594061844	0.328458409042623	0.273559379812224	0.129380990965745	0.0959832032758151	0.0909373405874613	1777	SPAG17	0.241231455319579	0.217691918405463	0.436130994501337	6.82805299699649	1	NBGMM (HL)
