earlyAD,lateAD
GADD45G,UBC
MEIKIN,ATXN7L3
SERPINE1,DPF1
HNRNPA2B1,ARMCX5-GPRASP2
FAM160A1,PHF3
NAV3,SMARCC2
SLC35F3,RUNX1
SYN1,FAM169B
NUCKS1,SUMO3
C4orf54,VSTM2A-OT1
AL513166.1,NUDT3
ZBTB16,SC5D
NAP1L2,STARD10
FBXO32,HSPB1
CNST,FNDC9
NEAT1,FSTL5
LONRF2,KLF13
GALNT13,PDGFRB
CDH12,SKIL
ZNF365,CLIP2
MAPK1,SNCB
FRYL,AC104083.1
RGCC,FAM214A
SPOCK3,MARCKS
OLFM1,AC008571.2
TRIB1,LINC02054
CNKSR2,FBXL16
PRRT2,HEBP2
FAM133B,NRXN2
DENND2A,DKK3
GPM6A,SYNPO
TBR1,CDK16
SNAP91,KHSRP
ZNF451,PXN
ATRX,PLCXD3
AC124854.1,KLHL9
ABCA10,AC061975.8
MYO1E,PIAS4
FBXW7,CADM2
CYP1B1-AS1,GPR12
AC003991.1,KCTD8
ZMAT4,COL10A1
ANKMY2,C11orf68
FAM13A,NFIX
USP25,BAIAP2
ROS1,TNS3
FOSL2,TRPC4
SATB1-AS1,SPAG5
INHBA,DNAJB2
ROCK2,SOD2
AC068205.1,PEA15
RASD1,GLIPR1
CSRNP1,HNRNPAB
AC109927.1,DNAJB4
TAFA2,IFIT5
NOL4,KCTD16
FAM126B,HSP90AB1
GABRG2,KLHL21
HSPA4L,UBQLN4
MT-CO3,PRKAR2B
UBE2E2,LINC02268
BZW2,PURB
VPS13A,RALYL
SMC5-AS1,CELSR2
BTG2,SMARCD3
BTG3-AS1,YPEL5
DUSP2,LRRTM2
ABCB4,SORT1
LINC01937,ZNF770
ADGRB3,SCGN
VEGFA,NR2F1
RUNDC3B,EFR3A
ELOVL5,AC124854.1
DHH,NACC1
R3HDM1,UBTF
RAB21,N4BP2
USP34,AMER2
TPT1,SYT1
MAGI2,TLCD4
LINC02054,SSBP3
BTBD8,RPL4
KCTD16,TLE4
NCL,CUBN
KCNIP4-IT1,FRG1-DT
AC006148.1,SHOC2
SNAP25,AC007262.2
MT2A,ZEB1
PAM,CDKN1B
PARD6G-AS1,INAFM2
NCAM2,TCAF1
COX6A1,H3F3A
FZD3,U2AF2
PPIA,AC003991.1
PTGES3,AC069287.1
SYNE1,CELSR3
TESPA1,PNMA1
SLC38A11,SLC35F1
AC245060.5,SERINC1
KLF10,CENPJ
NEUROD2,PHKA1
NPTX2,PRRT1
MYOM2,LINC01284
AL121821.2,FAM43A
PTPRK,H2AFX
ACVR1C,LRRN3
AL355512.1,RNF6
MAPK6,FGFR1OP2
GRIA2,ZMIZ1
HSPB8,CASP6
SNHG14,TMEM161B-AS1
NCKAP1,YWHAH
RIMS2,DBN1
PHF3,FBXL3
DUSP5,AC018362.1
PCDH7,SOWAHA
SC5D,ST8SIA3
ZFAND5,SYT7
CNTN4,NPAS4
KCNC1,MLLT3
MTCL1,NEUROD1
SSBP3,AKAP11
LIN7C,RASEF
TENT4B,IRS1
JAK2,HS6ST1
NUDC,RAB1B
KCNIP4,PDYN
KIAA0408,IGFBP5
RHOQ,HPYR1
RBM26,RAB39B
FBXL17,FAM131B
VSNL1,ZCCHC3
MT-ND4,PRRT2
ZMIZ1,KCNA1
KIF13A,ARL5B
IER5,RNLS
MT-CO2,MCOLN3
HIST1H2AC,SRI
GABRR2,UPF1
SHOC2,AP5M1
TMEM30A,PRELID3B
ZBTB7A,KIAA1958
EBI3,FANCC
BDNF,COL6A1
TPD52L1,MAPK8IP1
FGF14,VWC2L
NRG4,CCNT2-AS1
KCNV1,PALLD
UBB,NGB
DOK5,SYT13
ME1,AKAP9
IL1RAPL1,OCRL
EGR3,MOSMO
AC093151.8,DEK
FEM1B,TSIX
SH3GL2,DDX3X
AC069281.1,MORF4L1
CSMD3,FBXO30
UBQLN2,HNRNPUL1
APOLD1,PSIP1
SESN3,LRFN4
DOCK3,RNF11
MPDZ,TPPP
TNC,KCNMB3
AC097512.1,SDK1
NIPAL2,RTP5
CAMK1D,NOVA1
PARP8,NUDT21
SYCP2,KCNJ3
AC098588.3,KBTBD6
SREK1,GMFB
GUCY1B1,SAMD1
SV2A,PAFAH1B2
CIT,IDS
LRBA,NECAB1
GABRB1,CSRNP1
LINC00882,ATP1B2
PDZRN3,SPEN
ELL2,PAIP1
ANKRD11,KCTD12
RFLNB,SEPTIN3
AL358937.1,GIT1
LSMEM1,ZBTB1
STAC2,FOXO4
KANSL1,AP001341.1
ASPH,KCNIP2
KIAA1522,AMD1
MT-ND4L,SUN2
EXOC6B,MEIKIN
KHDRBS3,AP003066.1
ORAI2,HNRNPA3
TTC28,SREK1
CSRNP3,KLF5
PEG3,TEF
ARL5B,RGS2
ABTB2,MAP1S
ARL6IP1,SEPTIN8
PPP1CB,UBA1
MMP16,CNKSR2
ACTN4,FGF10
ZDHHC2,KCNC2
SRSF11,HAPLN4
KMT2A,AC092640.1
RPAP2,OIP5-AS1
AC246817.1,SEMA3C
AC115282.1,GABRG1
HERC4,AL355672.1
AGAP3,POU3F3
USP47,ASPHD2
EPHA1-AS1,COL27A1
LIN7A,MAP3K20
LINC01284,PRLR
LINC01725,CCNG2
CELF1,BAP1
AJ009632.2,PRDX2
LINC01983,NONO
NFIL3,AC107398.3
ARID4B,CNBP
MAP2,PCYOX1
CCNG2,FAM13A
JUND,CACNA1I
MORF4L1,DISP2
ADAM23,FNIP2
GDI1,SGCB
MACROD2,GNPDA2
ADAM32,UNC119
ETV3,ZMAT3
AC137932.2,SUMO2
LINGO2,AK9
CADPS2,ZBTB16
FTX,CNP
PER3,CAB39L
ANK2,GALNT16
TTBK2,AC009407.1
SPATA7,RFLNB
SNCA,CNTLN
LINC02693,TCEAL9
DNAJA1,HNRNPK
MLF2,ATMIN
CENPP,NR1D2
SIX4,ZNF664
KLHL4,QKI
NR1D1,TPD52L1
CPEB3,CYGB
BICC1,CYYR1-AS1
P4HA1,LINC01923
TAOK3,AC104836.1
