bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
XIST,XIST,AC011586.2,PTPRJ
IFI44L,AC105402.3,MSR1,MALAT1
XAF1,SPP1,LINC00278,ABR
EPSTI1,LINC00578,UTY,FOXN3
MX2,GLDN,USP9Y,SRGAP2
MX1,NKAIN2,HSP90AA1,P2RY12
SCO2,NEGR1,MS4A6A,MAP3K5
HAMP,IPCEF1,FAM49A,RYR1
PARP14,ADGRG1,SRGN,IPCEF1
TYMP,AL589693.1,CADM1,FAM118A
NRIR,RHBDF2,MBNL2,STK10
IFI44,CACNA1A,DDX3Y,MAP4K4
SIGLEC1,AC119673.2,CYP27A1,CX3CR1
SLC11A1,HSH2D,PRKY,SRGAP2C
CMPK2,FBN2,FAM13A,MCF2L
STAT1,MLXIPL,HIF1A,AC008691.1
CCDC144A,ADGRD1,NLGN4Y,KHDRBS3
IFIT3,FLT3,TTTY14,RUBCNL
OAS3,AC131944.1,DOCK5,MAF
EIF2AK2,IL17RA,IL10RA,DOCK8
PARP9,ST8SIA6,SPON1,CAPZB
PIM1,RTN1,CEBPD,ANKRD11
IFI6,LIMCH1,MT-ND3,ST6GALNAC3
BIN1,VSIG4,HIST1H2AC,NCK2
SLC2A3,TMEM163,THRB,SFMBT2
PITPNA,HSPA5,MGAT1,ST6GAL1
IRF7,CD14,APOE,AL163541.1
LIMK2,ESRRG,CPVL,APBB1IP
HERC6,ARL17B,SMIM35,TIAM1
DDX60,PKDCC,FOXP1,MERTK
POU5F1,LMO2,MT-CO3,LINC01141
RSAD2,MTRNR2L8,P4HA1,ITGAX
C3orf70,TMIGD3,HSPH1,MTSS1
IFIT1,RNF220,THEMIS2,EML4
MAP3K8,RGS16,ZNF804A,PTPRE
SAMD9L,LAT2,HSPA1A,KCNQ3
PSTPIP2,BIN1,SDCBP,LINC00996
AC008050.1,IGFBP7,RAPGEF1,MKNK1
TBC1D8,ANGPT1,PRDM1,BIN2
SOCS3,PVT1,ASAH1,TCF12
ODF3B,AP001977.1,CD74,RASA3
KIRREL3,MPO,GPR155,CHST11
ERC2,HTRA1,RNF144B,CMIP
OAS2,APBA2,MT-ND1,AAK1
LINC02073,MSRB3,AC011586.1,GSN
SPATA6,ERG,EPB41L3,CARD11
TMEM163,IL4R,KLHL24,PRKCA
