earlyAD,lateAD
FAM167A-AS1,AL158206.1
AK7,LINC01619
MGAT5,NOVA2
MUSK,EFHD1
EXPH5,RGS5
DNAH5,SLC30A1
TSNAXIP1,GREB1L
AC010255.1,CD109
GALNTL6,FTL
AC105052.5,GRID2
AC005999.2,GALNT13
CFAP54,WNT2B
EFCAB12,GAPDH
AL139815.1,C22orf34
FHAD1,MAFF
RGS22,FOS
PKIA,KIAA1549
RABL2B,MCAM
SERPINI2,AP3S1
KNDC1,ECT2
ARMC3,GATA2
DNAH7,GFOD1
NME9,CLEC4E
USP2-AS1,CD151
SGIP1,GIMAP6
AL157886.1,TMCC3
C4orf47,RERG
CCDC173,CSMD3
TEX41,TINAGL1
SOX21-AS1,CDH6
VEGFC,PFN1
C3orf67,FAM110D
DRC1,AL929091.1
LRRC23,AC000082.1
C8orf34,TGFB1I1
CCDC146,TGFB1
FBXL13,GIMAP8
COL5A1,SGIP1
HYDIN,CLIC1
MARCH3,ELMO1
TTYH1,SLC2A3
MYO3A,GNAI2
IQANK1,DPP10
AC090001.1,AFAP1L2
HKDC1,TSHZ2
DNAH6,DUSP23
FSTL5,DOCK11
STAMBPL1,DTHD1
SPAG17,ITIH5
STXBP5L,GPER1
ENKUR,HSPH1
MMP16,TRIM9
CD24,TM4SF18
IQCH,GFAP
HSPA1B,AP001037.1
ZNF273,GPM6B
CFAP77,CSPG4
SYT10,IFI16
PPIL6,BCL2
SCO2,MARCKS
AL365259.1,SLC7A1
CHL1,FOXF1
C7orf57,NDRG2
WSB1,FSTL5
PCED1B,CNOT6L
TRDN,IQSEC1
SPATA6L,SPARC
HHATL,SORL1
DYNLRB2,MCTP1
TMPRSS5,NPIPB5
ADGRG7,RASIP1
ODF3B,PCSK5
TMEM67,MMRN2
CATSPERD,PMEPA1
FAIM2,CHN1
UCHL1,ADARB2
PWRN1,RCAN2
TMEM178B,UTRN
RSPH4A,AC090125.1
AC092802.1,NDUFA4L2
RABL2A,PTH1R
AC009163.1,SHISA6
AL034348.1,VASP
MARCH10,TUBA1B
SPAG1,OAZ1
CCDC170,GIMAP1
DNAAF3,MT1F
CASC2,ZBTB38
PALLD,ELOVL7
KIAA1211,PELI1
MT1E,FMN2
HEPACAM,KANK3
TYMP,LCP2
AC069228.1,CAMK2N1
TTC26,DLC1
AL391807.1,POU3F3
C1orf198,MT-ND4L
OR2J2,IRF1
TRPC6,APOLD1
CD44,IFI27
AL513166.1,KCNB1
GLIS3,HLA-A
CASC1,ACVRL1
FAT3,H1FX
ENO4,TTN
CD36,PHACTR1
TMEM158,ELF1
CERS1,GPR146
SPAG6,GBP4
RASSF9,ST8SIA1
SOX6,ACER2
EFHB,EIF1
TUBA4B,TSPO
ITGA2,TMEM123
CFAP53,USP43
AC096637.2,CSRP1
MNS1,EHD2
CAPSL,H1F0
IL5RA,HEY2
CCDC189,EMP3
MLF1,RRAS
FRY,SMTN
INTS6L,DES
KIAA0825,ARL15
GAREM1,TTC6
DYRK3,GPC5
CMSS1,JUNB
RNF220,SLC38A3
PSD2,TMEM131L
KIAA2012-AS1,GNB4
EFCAB6,AKR1C2
MT3,AC097528.1
SIPA1L2,ZNF385D
SSBP4,LRATD1
BAALC,CFL1
FILIP1L,EFR3B
WDR66,BCAS2
CFAP57,MAF1
BBS5,SHROOM4
DENND6B,LEF1
CHST6,PCDH11X
CCDC113,GADD45B
LINC00632,S100A11
DNALI1,NRARP
CCDC153,IRAK3
FAM174A,PCED1B
BBOF1,ANTXR2
NEK11,SDCBP
FAM227A,SLC38A5
LINC02345,COL16A1
HCN1,FMNL3
RSPH9,PDE4DIP
EFCAB10,ROBO4
FREM2,GRM3
AC034268.2,VSIR
C1orf158,RGMA
CEP83,PDE4C
LINC01138,LDB3
AC004879.1,STIP1
AC007563.2,BCL6B
SPATA18,ZFAND2A
PSD3,NES
TRDMT1,USP6
LRRC63,FAU
CRIP2,STXBP5-AS1
FAM166B,ARHGAP31
LCA5L,CD81
DPP6,CCDC85B
NFIB,PLLP
LIMCH1,RGS7BP
P3H2,STMN1
MFHAS1,KCNMB2
CNTN3,AIF1L
ST3GAL6,FAM89B
TMEM232,LDB2
AGT,ADIRF
AGPAT5,FKBP4
AL353660.1,LDHA
RPGR,ANGPTL4
VSNL1,AC093535.1
TPPP3,AC018816.1
CDK9,SERPINH1
RPGRIP1L,TCF15
AC097515.1,RELL1
MAT2A,TFPI
HSPB8,SOX7
OR14J1,PCDH1
CCDC81,AC011997.1
LINC01776,THSD7A
PRUNE2,IER2
ADGRB3,GATA2-AS1
UNC79,FAM241A
EFCAB1,RAMP2
LRRC27,MARCH3
SDK2,NUPR1
LINC02018,TAL1
AC063979.2,AC006148.1
KIF19,HMGA2-AS1
SLC27A6,GADD45GIP1
PPP3CA,PSD2
LRRC6,MGAT4A
NIN,AC115622.1
FOXG1,FHL3
KIF1A,SMIM3
CFAP70,LINC02185
AC008957.2,DUSP1
GREB1L,PKN3
CELSR1,JUND
LINC02224,AL033523.1
KIF17,MT1A
DNM1,NEDD9
CFAP44,RASL12
PHEX,GPR4
SGMS2,NLRP1
ZFP36L1,MARCKSL1
TTLL7,LMO3
SV2C,RNASE1
MT1X,SOCS3
AP002026.1,VEGFC
ST6GALNAC5,RFX4
AGBL2,KCNAB1
C20orf96,BACE2
SDR42E2,ITGB1
HEPN1,PLSCR4
AL096709.1,PERP
OR5V1,KLHL5
SYNPO2,RPS6KA2
TTC21A,PANTR1
UBL3,UBC
SPAG16,AC105383.1
KIF5C,NCALD
CCDC40,AC090578.1
WDR78,CCN2
AGBL1,RAMP3
LRRC4B,SPINK8
TGIF1,KLF7
AC079385.1,EFNA1
HSPB1,GUCY1A1
DYDC2,TCF24
MYB,IQGAP2
TEX26,ATOH8
FSIP1,TLN1
GRIK2,RHOC
LINC01896,CDK2AP2
ZNF709,MYL12B
FGFR1OP,AC025442.2
C22orf15,TLR4
ANKRD18B,C5orf24
CCDC157,PPP3CA
FABP6,TAGLN
PDLIM3,WTIP
AC002070.1,SLC39A8
EFCAB2,RABAC1
SYN2,TLE1
CFAP44-AS1,VAT1
PACRG-AS3,CCM2L
SAMD4A,FBXO2
TTLL9,RFTN2
TNNI3,FZD9
SLC15A2,CAV2
MGLL,PCBP1
CCDC175,PLPP1
ZNF98,CLIC5
GABRB1,SNCG
GALNT8,LHFPL6
C21orf58,SYNPO2
AC097713.1,KCNJ10
ARHGEF26-AS1,VCAN
TEKT4,CCN3
TEKT2,CIT
FNDC1,ST8SIA4
AC093879.1,CNN1
DNAH11,TRDN
LINC00886,PTCHD1
UNC80,ATP1A2
SLC9C2,C11orf96
PCSK5,SLC44A5
MOK,PTGDR2
ANGPT1,LAMA3
PTMA,RIMKLB
CCDC60,STARD4
PLEKHG1,CACYBP
TC2N,PALLD
CCDC30,DOC2A
FAM182A,FENDRR
NOL4,LNCSRLR
NELFA,MFAP3
PFKFB3,ARL4A
CFAP74,KALRN
FRMPD4,MRTFB
AC096564.1,CDKN2D
AC093610.1,RORB
RPS6KA5,AEBP1
MKX,PSMB9
TSGA10,XXYLT1-AS2
AC234582.1,PCDH18
ADAMTS9,CCDC3
PCSK4,TNFRSF10A
AC044849.1,SEMA3F
GNAO1,FRMD5
LINC01876,CEBPD
LEKR1,DNAJA1
LTBP1,GASK1B
TRPC4,GNAS
BMP2K,WDR83OS
DNAJB1,FGR
SLF1,IL27RA
LINC01765,CDH13
GATM,NCAM2
FAM27C,GJC1
CATIP,GRASP
POU3F2,POU3F2
DNAJB13,S100A10
CFAP99,CASS4
POU3F3,PALD1
TRPS1,MLKL
