earlyAD,lateAD
ADGRL3,AC090518.1
COL16A1,QKI
TMTC4,JAKMIP3
NAV1,GPM6B
SGK1,NUPR1
EIF4A2,ARHGAP12
DENND4A,USP34
NDRG1,SLC6A9
HSPA12A,BNIP3L
PRMT2,INPP5F
CBR1,PAK2
USP54,NCKAP5
AUTS2,DHCR24
SLC35F3,FOXP1
ACP7,RNF13
TAFA5,SSX2IP
MOG,LINC00513
HIVEP2,CAMKMT
RNF157,SLC5A11
LDLRAD3,LINC02199
PHGDH,LUCAT1
WWOX,LINC00320
H3F3B,MT-ATP8
ADSS,PRNP
ESRRG,FAM107B
CLN8,P3H2
TMBIM6,AC013287.1
CARS,RALGAPA2
TPST1,RASSF2
MARCH1,FRMD4A
SPRED1,PTGES3
JDP2,GINM1
PARP8,ENSA
RAPGEF4,CPEB2
PLPP2,USP32
PPA1,HSP90AB1
PEBP1,NDE1
PTK2,PCDH20
GTF2I,TRIM47
NPTXR,AC012494.1
RNF213,AC092691.1
CSRP1,PTMA
TPPP,STARD7
ITGAV,UMAD1
KIF13B,GUCY1A2
LDLR,PNPT1
PNPT1,KIF13B
HSPD1,PRRC2C
CIT,NFKB1
CLIP4,KIF19
LPIN1,OR7C1
MPRIP,PEG10
SRSF7,SC5D
TRIM2,NACC2
ARHGAP1,COL27A1
KMT2C,EPB41L4B
PHYHIPL,HSP90AA1
GATM,ARHGAP5
EID1,SMYD3
ZNF565,CYP51A1
RNF144A,CHD7
CAMK2D,SLC25A48
FAM135B,RAMP1
ETV6,EPCAM-DT
RALGDS,AC104806.2
CA2,FXR1
VAMP2,NKX6-2
FAM126A,DAB1
SLC20A2,SNCA
SH3BP5,RUFY3
RGCC,TAFA5
MTCH1,AMD1
CTSD,RASSF4
SYNJ2,EMC2
CAV1,USP47
GRID1,NCOA7
ADAMTS8,CTNNA2
PGRMC1,LRRN1
DPYD,PGBD5
APC,KIAA2026
ABCA2,MSI2
CNP,DDX3X
DNAJA1,LDLRAD3
PWRN1,PHF21A
ZBED5,CEP97
UBE2E2,PEG3
ACACA,ARHGAP32
DDR1,TCAIM
CDC42BPA,PGRMC1
ELL2,AC008571.2
NLGN1,LINC-PINT
NUFIP2,MCPH1
TIAL1,RYBP
ZXDC,SGCD
YWHAB,SH2D6
PPP2R2A,ADAM12
JPX,NDUFAF6
LINC00513,NT5DC1
USP22,EIF5
PTPRJ,PHLPP1
SEMA3C,GNAO1
TMOD2,AC011997.1
CLSTN2,MAPK10
ASB3,SASH1
CKB,EID1
DNM3,NPFFR1
MIR99AHG,CTNNA1
BAG3,DPP6
CACYBP,AC109927.1
EPHA3,PNRC1
AC108519.1,RPS6KA5
APOD,WAC
KANK1,AKT3
CPQ,TRMT11
ELF2,SF3B2
HEPN1,JPX
TKT,ATM
TERF2IP,CTBP2
ANKRD36,TNRC6B
PSAP,HDAC4
DAAM1,HNRNPH3
TARSL2,AL034405.1
NEGR1,ZNF33A
DNER,RELA
CNDP2,XPO1
TMEFF2,TF
PDGFC,GPR135
FRMD4A,RICTOR
PIM3,AC005821.1
MAML2,HSD17B7
NECTIN3,FMNL2
USP32,SACS
SLC22A17,ST18
PPIA,RAB30
SERPINB6,SLC22A23
KCNQ1OT1,RTN4
DENND2A,PTP4A2
NASP,KTN1
KIAA0930,CDK6
STMN1,HNRNPU
ACER3,FEM1B
NCKAP5,MAP7
FBXL7,STARD13
MAP2K4,DBI
ITM2B,RASAL2
SOX10,TIAL1
WDR59,CORO2B
ITPK1,MAPT
GALNT6,KANSL1
NFIB,NORAD
SMARCA2,AC010359.3
ARRB1,KLF15
MIDN,SYNJ2
GTF2IRD2,HERC3
DSCAML1,FAM133B
P4HA1,SMOC1
TMC7,PPA2
ZFYVE28,C15orf41
HMGN3,PIK3R1
NKTR,UTP23
FAM221A,CLK1
CCDC88A,MT-CYB
CREBZF,MTX2
ADAM12,DYNC1LI2
RABEP1,FAM214A
HAPLN2,PEA15
YWHAG,H3F3A
LRP2,SLC12A2
CDK19,EIF1
PEG3,NBDY
PGAP1,C10orf90
SAMD4B,GAB1
C10orf90,RAPGEF5
STIP1,SLC25A18
SLC27A1,ARHGAP21
CDH13,PAQR8
LARP6,RASSF8
RBM26,ELF2
CRYAB,ZNF292
ST3GAL5,MAT2A
PDE4B,MIR4527HG
NRDC,P2RX7
HHIP,ZBTB1
GFOD1,SESN1
PAXBP1,ERMN
SLC23A2,DGKH
ATP11A,CELSR2
CHD7,MSMO1
PRRC2C,VEZF1
P2RX7,ENOX2
MORF4L2,TMTC2
TUBA1B,CRYBG3
CLIP2,PITPNC1
ARL4A,KCNJ2
PTBP2,HIVEP3
ADAM10,UBL3
TUBA1A,LARP7
DYNC1H1,SLC25A27
SHC2,DBNDD2
AIF1L,ATRX
RBM48,EMSY
SLC25A27,WNK1
RALY,MCF2L
PLLP,APC
TAF7,ITPR2
SLC4A8,SLC7A11
LRRC4C,EML6
OLMALINC,LPCAT4
UBE4B,SRPK2
EPB41L1,XYLT1
ST13,ARPP19
AP2M1,AL139260.1
DNAJB6,RAB10
ZNF704,PACS2
CHD9,LRRC7
MARCH6,ARRB1
TCF25,MIR2052HG
TTL,PPM1E
TENM3,NDRG2
PI4KA,RHOBTB3
H3F3A,PPM1K
DNAJC1,NIPBL
HIVEP3,MAPRE2
PAK1,MARCH1
NDRG2,ERCC6L2
NDUFA10,TMBIM6
DDX3X,HSPA2
RAB40B,AL096803.2
DDX17,SLAIN1
PREX1,PLEKHA1
NGFR,PRKCA
TTC3,HBP1
ZNF708,CNTNAP3
SPECC1,MTRNR2L12
HIPK2,MTRNR2L8
DUBR,FANCB
LRIG1,PCGF5
SRPRB,CXCR4
ATP1A1,TMEM108
NCOR1,LRP1B
TYRO3,USP54
ABCC5,CGGBP1
FTX,CDK2AP1
POU3F2,NPTXR
ATXN1,SPOCK1
GIT1,KCTD3
P4HA2,DNER
ANAPC16,DCXR
EDIL3,MIB1
AOAH,DYRK1A
RUFY3,BACH1
JMJD1C,ATP2B1
HSD11B1,MFSD4B
SCD5,GLCE
ZNF146,AC092835.1
UBXN4,PSIP1
LRP4,DDIT4
EVA1C,BAHCC1
PDE1C,WARS2-AS1
NFE2L2,SHTN1
RASSF2,KLHL21
S100A6,FAM171A1
GPHN,ZNF718
DOCK5,SLC2A13
ZFR,ZFR
TAOK1,ZNF24
PRKN,LINC00862
CASC4,RAB3IP
FAM193B,KANK1
SIPA1L2,CDK13
URM1,SOX10
JAK1,FAP
KTN1,OPTN
TPT1,ACTN4
ENO1,DEK
RTN4,RAD18
RDX,LRRTM4
MT-CYB,SON
HAVCR2,WDSUB1
CDK5RAP2,SQLE
PCBP1,HLA-C
PKP4,SALL1
UBR3,ZBTB37
HEPACAM,NGFR
CD47,SH3RF1
FNIP1,VTI1A
RRBP1,NEK7
GPR137C,DMTF1
ARHGEF10,POU3F3
SRSF5,CRYL1
MKRN3,FERMT2
LINC01515,ERC2
ARL8A,EGLN3
ECPAS,PTPN11
MTDH,MIF
DDRGK1,ZCCHC24
PALM2-AKAP2,AC068587.4
MARS,UBE2R2
WAC,TSPYL2
USP11,WWP1
MTG1,FBXO17
PCNX1,HOOK2
LINC00667,CLCN7
HNRNPH1,SAMD1
PSAT1,CEMIP2
HNRNPH3,LDLR
PCA3,AC100801.1
