bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
FAM78B,AHDC1,RXFP1,DIP2A
C2orf72,APBB1,AC112220.2,CCDC136
ENO1,FAM120AOS,LINC00972,CDC14B
GSAP,ZNF621,LINC02515,ACOT7
MAP1A,TSPYL2,LINC00508,ARHGEF12
VDAC3,MLF2,CTAG2,FBXO16
GPC1,TLE5,HIST1H2AC,PTPRS
DDHD2,STMN3,AC025160.1,ANKRD26
RFX3-AS1,SLC2A11,AC007952.4,GFPT1
LINC02150,MAPK8IP2,AC096711.2,CCND2
RSRP1,DDX18,AL137100.3,UBR2
TMEM259,FASN,AL390964.1,NR4A1
GPI,USF2,NMRK1,LCOR
PNMA2,CTSL,CCDC33,NRDC
RAPGEF5,PEA15,SAPCD1-AS1,HPRT1
PVALB,ATP1A3,VCAN,LINC00366
NOXA1,RDH11,AL391095.1,TMSB4X
ITPR1,IGSF9B,LINC00443,MDN1
SLC6A1,VGF,AC079352.1,ETV5
SCN1B,SSBP4,TDRD9,UBE2D3
CCPG1,SLC22A17,SLC22A16,TMEM50B
GP1BB,SYN3,SCT,MIB1
ATP6V0E2,ANKRD20A4,AL391152.1,MCU
SNRNP70,SIN3B,LINC00498,TUT4
STX18-AS1,SPINT2,GTF2H4,TPST2
RPSA,H1FX,LINC02632,TCF20
SF1,CCSAP,GOLGA6L10,MOSMO
MIR4300HG,SET,STX11,GRIA2
ZNF449,ARHGEF17,PTH,EXT1
LRRC39,AC103810.2,AC099792.1,NOP58
METTL24,YPEL3,AC009234.1,ANKRD36
ISCU,CHCHD2,LINC01597,SMIM12
KCNC1,B4GALNT1,TCAP,LINC00862
ST3GAL1,HNRNPDL,CNGB1,RPL21
ACTR1B,MTMR1,DDX43,ARID4A
CAMK2A,NPPC,LINC02067,MYO6
RAB3A,BAZ2A,SIX3,MRPS6
SEC14L1,PRNP,SNHG27,PRNP
BTG1,AC090825.1,CHL1-AS1,LINC02398
FAM153CP,GDAP1,AL157895.1,RAI1
NLGN4X,SQSTM1,COL4A5,TFCP2
ATCAY,PIM3,CLEC2A,CDK12
SCPEP1,ATXN2L,TPM2,PPP6R3
NNMT,KDM6B,LINC01876,ELP2
RPL14,CA11,MMD2,ITGB3BP
TUBA4A,NLRP2,AL358335.2,BTBD8
TOMM20,PDCD7,PNMT,SNX31
LYRM9,NPEPL1,ANKRD55,PPM1K
AC092745.5,SERPINE1,DOCK8,RYK
PIDD1,CHRNE,LINC02746,SLC12A5
OSBPL10,LINC00599,LINC00658,SPRED1
VSTM2L,PSD,AL031658.1,HDAC4
LINC01515,DHCR7,HCRTR2,DAAM1
LINC01184,PCNT,NFATC1,NIM1K
TMEM151B,GIPC1,AC024579.1,HSPA12A
RNF165,NARS,LINC02549,OLFM2
CEP68,GPI,AC015688.6,SPTBN1
CAMK2G,ANKLE2,GATA3-AS1,KIF5C
LDHA,HNRNPA1,AC008875.3,QDPR
CYREN,IL6ST,C1orf87,SNX25
ABCA1,SYP,AC079154.1,RNF157
FAM162A,ABCA10,EOMES,CACNG8
CCDC82,ASIC1,LINC01443,CALM3
TMEM240,POMZP3,AL356299.2,LINC00476
LHX6,AP001347.1,XACT,SRRM3
USP11,DDX51,ZNF648,CCDC66
TMEM160,SYN1,AL158168.1,MAATS1
CLCA4-AS1,ACTN1,AC116534.1,LINC01588
SPRY4-AS1,IQSEC3,AL031056.2,OGA
TNFAIP2,DOC2A,INSRR,CHD9
ADCY1,NONO,LINC01194,CCDC173
CABP1,GNB3,AC123912.4,UBE2B
ZIM2,TMBIM6,LINC01219,TRAP1
COX4I1,OSGEP,AC105924.1,INO80D
FNBP4,SUN1,CMTM5,DOK5
PHF7,RPS28,AC026336.2,DST
CAMK1D,SMARCD3,AC007391.3,CMIP
SEC31B,NPDC1,AC011297.1,LINC00486
PAAF1,AC104041.1,LINC01844,NDUFA4
RHOT2,MAZ,TBX6,RPS12
NCALD,MYO9B,IRX6,STXBP1
CES4A,BIN1,AC012078.2,SMCHD1
TRMT10B,ST8SIA3,LINC00558,AC139887.2
PRKX,PFKP,AC008969.2,DIXDC1
PDK3,LIPA,AC092490.2,RNASET2
AC006148.1,LINC01237,ASPA,PTPRJ
LUZP1,PRRT1,HIST1H2BD,SETD5
TUBB2A,DHRS4L2,AL359987.1,BEX3
FAM27C,ZMIZ1,LINC00379,G3BP2
CIAO1,PLPPR2,TTTY13,MGLL
DELE1,JUN,LINC00645,SPTBN4
PDE4A,EIF1,AC026462.4,UBR5
PDPR,RPLP0,AL359091.1,SLC5A3
TUBGCP5,PIANP,CASC6,PKNOX1
GREB1,SIRPA,TDRD10,CEP290
ADD3,LRP1,AL445250.1,PIK3C2A
CNTNAP3B,MAN2A2,ITGB2-AS1,RCN2
ATP1B1,DHRS4-AS1,AC034223.1,DYNLL1
AL359232.1,DPF1,TLL1,TGOLN2
NQO2,RNF145,AL590814.1,STAT3
ABLIM2,NECTIN1,COL3A1,GOLGA8B
SCAMP5,NCDN,BX276092.9,PITPNC1
PKM,ADGRB2,OLIG1,GAS7
ABCA9,REEP5,CSF2RA,KIF21A
CC2D1A,POLR2A,AL132712.2,CPE
DYNC1H1,TMEM59L,OR3A1,TIMP2
BEX3,SULT1A1,AC243585.2,INPP5F
KCNAB1,PMEPA1,MAGI2-AS1,HSP90AA1
CHRD,POMT1,SLC2A14,RPL35
UNC80,TOLLIP,AL645940.1,ANKS6
PTPN18,BRD2,AC010319.3,NMNAT2
STMN2,PDXP,BMS1P14,DDX5
TMEM132C,SAP30,LINC02699,MIA3
MAP4K3-DT,B4GALNT4,LINC02147,HIVEP3
MDH1,PYGB,LINC02032,TTC3
SV2A,ORMDL1,TRPM5,SCG5
TBC1D24,NDRG4,DLG1-AS1,SNRNP70
ECE2,MED23,FOXD2-AS1,ZFR2
SLC16A9,GADD45G,IGLL1,TRANK1
PRSS55,NRXN2,AC021733.4,RGL1
AL158077.2,SYNGR3,AL161893.1,RBFOX2
RSAD2,DKK3,AC104389.5,TACC2
WDPCP,SELENOI,PLXDC2,C7orf50
CNPY2,LINC01060,TMEM98,TSC22D1
PYGB,TBC1D32,AC006449.6,CYLD
MICAL2,CKMT2-AS1,EVI2A,HNRNPA2B1
MAFB,TTC9B,HCRT,AL357153.2
PDE8A,BRSK2,LINC00592,PHF20L1
ZNF540,CLCN6,AL021707.8,MIR181A1HG
TM7SF3,CHD3,BX890604.2,MEF2C-AS1
RCOR3,ATP6V1B2,C1orf127,FAM49A
RPL29,PRPF19,SMIM2-AS1,RAB21
KCNH1,SLC29A2,AC010175.1,ASB3
NEFH,PKD1,CARNS1,ARHGAP21
SLC24A2,IDS,AC103874.1,PDXK
P4HTM,MT-ND1,MAG,ZNF518A
KCNAB3,UNC5A,LGSN,ZBTB8OS
CEP57,RHBDL3,VWA7,IPO5
KDM3A,LZTS3,CXCR6,RERE
ITM2C,CWF19L2,LINC01446,FKBP4
RTN4,SRRM2,AC026785.3,KIAA0232
HS6ST1,PPP2R1A,AL021917.1,MAP2K4
LDLRAD4,TTYH3,IFI44,PAPOLA
LANCL1,NORAD,CASP7,MCF2L
METTL6,PGP,TSLP,LGMN
ARSG,SUCLA2,AC117460.1,SMG1
TEAD1,ATP1B2,MTRNR2L10,SRGAP2
ATP5F1D,TMEM167B,CD74,EP400
OPRD1,BICC1,AC113145.1,SLC25A25
ASTN2,CYHR1,AC012615.6,SRPK2
FLYWCH1,THRA,CRABP1,CSPP1
TMEM179,LRRTM2,AC073062.1,GNAO1
RAPGEF6,BRD8,GIPC3,AKAP11
KMT2A,SLC4A3,CLEC7A,BID
LINC01252,SRSF11,TACR1,FAM66A
AGBL3,CABP1,SLC6A1-AS1,KDM5A
LINC01278,TSC22D3,MOBP,CELF5
KLF3,ATP6V1D,TNFSF14,NPTN
CYTH1,ARF1,AC092275.1,CELF1
NHLRC3,GPR162,COL5A3,RPS29
FAM66A,SPDYE2,AC011525.2,RPL41
H3F3B,SKP1,SNTG2,ACSL3
AC124016.2,PNPLA3,AC010503.2,L3MBTL1
ULK3,SNCA,PNLIPRP3,SUGT1
SLC44A1,CNIH2,CYP4F11,AP3D1
PIGZ,CCPG1,AC009498.1,CTNNB1
ZNF714,FAM27C,FGF1,ADAM32
KANSL3,SV2A,LINC01954,TNFSF13B
AC006504.5,CXXC5,AL365226.1,GABRB3
GAB2,SENP5,AP1G2,RANBP2
TCAF1,ESRRA,RTP5,KIAA1671
CACNA1A,L1CAM,OR8A1,HIKESHI
SYP,SGSM2,ARHGEF3-AS1,PAK1
MTMR1,FBXO44,CYBA,RAPGEF2
AC005906.2,CTSB,GDPD3,MYO5A
GLUL,KLHDC3,AC012414.3,SCAI
PKD1,HPCA,LINC00460,SH3GL3
ABAT,SLC25A22,AC011029.1,ADNP
WASF3,ADGRL1,AC007422.1,GRAMD1B
LINC01937,CNTNAP1,AL163872.1,RPS27A
TBC1D22A,LINC01551,AC096736.3,NUP160
GPX4,MAPRE3,MYO3B-AS1,MFAP3
DDX24,GLYR1,AC113192.3,MPHOSPH9
BCAN,SLC12A5,AC012447.1,HERC4
AP006261.1,FLOT1,AC092813.1,DENND5A
SAT2,DBN1,CST9L,UPP2
ARX,CHD4,Z97652.1,HUNK
MTMR4,H2AFZ,LINC02203,GPM6A
CNTNAP1,PRPF8,TRIM5,TPTE2
APOL2,MAGEL2,TLCD1,MTCH1
ADHFE1,CBX6,USP17L7,NFAT5
PCTP,TIMP2,CTXN3,MAP4
CHCHD10,DNM1,AL357992.1,PLEKHA5
AC051619.5,EEF2,AC092958.1,PHF8
MPPED1,HARS,RGS1,RPS4Y1
CLEC16A,PPP1R9B,SPATA12,MAP2
SOX6,AC005670.3,TNFRSF18,ARHGEF7
PDK1,SNX19,SLC34A3,RNF185
IGFL4,GIT1,AC103853.1,UNC13A
PPARGC1A,MAT2A,AC135068.3,CSAD
FAM182A,GIGYF1,AC245041.1,DPH6-DT
RNPS1,MTCH1,AP003392.3,RAD9A
OTUD7A,PLXNA1,LINC01812,KCNQ2
SERGEF,SLC6A6,SLCO1A2,UTP23
DANT2,SAT2,SLC26A3,ITM2B
SPTAN1,AGAP3,LIME1,RTN3
BCL2L2,MTERF4,SLCO1B3,SAMD4B
CCDC85B,TMEM63B,LINC00345,FBXO34
HLA-DMA,ZRANB2,COL9A2,SPAG9
ATF6B,LINC02802,AC011815.2,CAP2
RAMP1,VAMP2,APOC2,NAP1L4
AC018730.1,PSMD5,DUXAP8,ELOVL6
AC079781.5,AATK,FBXL7,DENND4A
ILK,KCNQ1OT1,AP005329.3,CANX
WIF1,FOS,AC007389.3,RBBP6
SLC35A1,ATP13A2,AC022400.1,SYT11
IDI2-AS1,TSPAN3,LINC01126,WDR17
RHBDL3,MLX,OR7E24,GNB1
FAM131C,NELFCD,ADIRF-AS1,MDM4
CDK5RAP3,UBALD1,RIPK3,ATP2B1
TAZ,CREBZF,LINC00507,APBA1
MTCH2,NLGN2,AC073140.1,ZNF124
KLHL32,TCF25,LINC01559,RPS18
TNNI3K,PGAM1,LINC01795,NRG2
RAB26,TUBB,FP671120.7,DOCK4
GFOD1,CADM4,ZP3,PPM1L
AC244131.2,AC025159.1,DPEP2,KLC1
HERC6,ABHD8,LINC02277,FAM219A
CBX7,PGBD1,AL160396.2,HMGB1
MZT2B,TRIM28,AC007953.2,DCAF5
TRPM2,PHTF2,HLA-DRA,CHKA
SLC4A3,MOGS,AL139193.2,NPM2
DLEU7,CTNNA1,ASDURF,IQSEC1
PDCD5,HEXIM1,FAM25G,AP3B2
BCL11B,MAPK8IP1,AC124068.2,MAP3K9
TERF2IP,GPATCH2,AL008582.1,HOOK1
ETV6,SLC9A5,TCHHL1,ADNP2
VAMP2,LINC01619,TBX5-AS1,LARP4
PKD2,RTL8C,AC233266.2,FOXK2
ATP2B2,PRRC2A,BX649601.1,SPIN1
UPF3B,ZMYND8,LINC01736,BANP
PFDN5,PLXNB2,GPSM3,FAM66D
CDK5R1,TMA7,LINC00442,TSPAN7
OCA2,M6PR,LINC02568,DYNC1H1
SULT4A1,PURA,HYAL4,SRP19
NUBPL,ENO2,TMEM119,ACSL6
PRKN,LINC01089,HEY2,CCDC18-AS1
HLA-B,MUC20,AC134312.2,SFXN5
NNT,CEBPB,AC010132.1,MPP6
KCNB1,CRMP1,AC026725.1,NORAD
AP2A1,ZSWIM8,EIF1AX-AS1,PRKCZ
INVS,MAP1A,AL392172.2,UBXN2A
BTF3,RING1,ANKRD20A2,PWWP2A
KDM5C,ADGRV1,RAB42,ARHGEF10
AC013460.1,H3F3A,Z82214.1,DDX3Y
AP003393.1,FAM106A,LRIT1,SIK3
RPL8,CALD1,AC025947.1,NDFIP1
ATP6V0C,TMEM145,AL161781.2,USPL1
SETD7,SARAF,AC026316.2,PRPF3
ATRN,CALM3,LINC02647,GLS
FBLN7,RPS27,AC131956.2,ATP1B3
LRRFIP1,RABL2B,C20orf85,TTC19
KCNJ4,NRSN2,AL355838.1,CEP95
CLMN,SLC2A3,AC006974.2,ANKRD36C
CCND2,PRXL2A,AC097658.3,ERGIC1
SLC12A5,SYT11,LINC00987,NDUFS1
GSTK1,CLTA,AC116345.1,MOK
CCNI,PCBP1,AC068408.2,MORC4
CLCN4,CCDC32,AC010907.2,PAFAH1B1
ATP6AP2,SLC5A4-AS1,AP002807.1,WDR49
BNIP3,TCEAL1,CCL20,EVL
AC104964.1,RER1,LINC01802,LRP8
ABCA6,CLTB,AC025614.2,PRICKLE2
TSC1,SELENOK,AL358232.2,BBS9
PJA2,AUXG01000058.1,LINC01972,CASC4
TSPAN7,GGT7,AC106037.2,NAA35
MMP25-AS1,QPRT,AL353596.1,HNRNPH1
RPL9,CACNB1,AC019257.1,HERC1
SRSF7,BAG6,AC005944.1,KIF3A
GNL1,IFITM10,ZNF257,RPL34
TTC8,DDX24,AC007179.1,ECPAS
PEBP4,RPS2,MS4A7,ATP6V0E2
AC009522.1,LRRC41,PARD3B,HOOK3
FHOD3,RPS19,SLC52A3,PUS7L
FMN1,MRFAP1,AC060834.2,ANKRD36B
RBM3,NCL,AC005487.1,RBM25
DNM1,GTF2I,AC011246.1,UMAD1
ALG1L9P,RNF175,AC023095.1,NUFIP2
MYO6,PCBD2,LINC02810,PWRN1
RASSF8-AS1,ATF6B,FCGR2A,TMOD2
NUAK1,IARS,AC002115.1,NR6A1
ADCY8,CELF3,MIR17HG,PHC3
CHKB-DT,CSTB,AC018814.1,RAB11A
SUMF1,LRRC37A,AC006033.2,GPRASP1
PRMT7,UBA52,SLC25A43,GPM6B
PPM1K,NUP42,FPR2,PREPL
HAPLN4,CPSF4,AC063944.3,CAMK2G
PCDH8,ABR,LGALS7B,JMJD1C
AC083870.1,FADS2,CHMP1B-AS1,NAA16
ARMCX4,EIF4H,LINC02123,TSHZ3
NYAP1,AC005753.2,C6orf118,ANKIB1
PABPN1,IRS2,FOLH1,BCL2
CALM1,CRY2,LINC01033,SAFB2
AC124852.1,CTDSP2,CRISP1,DDX17
CCNJL,SEZ6,TNF,PGM2L1
ARHGDIG,LRRC37A3,AL035587.3,PRDM2
AC011476.3,PIP4K2B,AC076968.1,HIVEP2
GAPDH,ARFGAP2,AC078881.1,AKAP9
SLC9A3-AS1,KHDC4,AC018647.1,KCNJ6
GLMN,GNL1,ZNF728,PRICKLE1
RNF217-AS1,EIF5,AC093496.1,CLSTN3
CAPN1,BBS5,AC092440.1,CDS2
IDS,KIAA0930,LDHAL6A,PRRC2C
FLT3,PARP2,AL022151.1,HSP90B1
KIAA1217,CASKIN1,NTNG1,SLC4A5
SHFL,DIRAS1,AC137761.1,TBCD
MYRIP,CHDH,LINC02443,WDR60
MTG1,SRSF6,AC107391.1,ATP6V0C
SIRPA,FBXO21,LCK,ZFC3H1
LPIN1,HERC2,BX005040.1,HSPA8
MYL6B,GDI1,AC095050.1,MBNL1
VAMP1,STXBP1,SIRPB1,DOCK9
DHDDS,NGRN,OR3A2,OCIAD1
DNM1L,PITHD1,ERBB3,FRAS1
WBP2NL,ULK3,CD84,TRAF6
AF165147.1,PNMA1,C21orf62-AS1,PEG3
PDE10A,SNRPF,IFNL2,PDCD6
SEPTIN9,MTAP,AC010255.2,KSR2
MGST3,PNMA2,KRTAP21-1,EPM2AIP1
RNF14,SPNS2,MAB21L1,NHS
EEF1A2,STX1B,AC004593.2,PHACTR3
