EIF1,ATP2B1
MAOB,AC007432.1
NKX2-1,JHY
VEGFA,FANCC
PPFIA1,C21orf62
NPNT,CAMK2N1
SESN2,HSP90AA1
EGR1,SLC38A1
RTN1,FAM81B
TARS,IRS2
WSB1,IFRD1
ST6GAL1,ANAPC16
YTHDF1,GRIN3A
GRHL3,CLSTN2
TRIO,AC002377.1
NIBAN1,CASC17
ZDHHC9,COL5A1
ID1,C4orf47
UGCG,AC245884.9
GBP1,SAMD3
MYO1E,PXYLP1
PAXBP1,INPP5D
GARS,AL158071.3
ENAH,PRR16
SLC8A3,ITGA3
AL354740.1,SFTPD-AS1
ATP1B3,SLC30A1
H2AFZ,LINC01719
FOSL1,MAN1A1
ZFP36L2,AL162511.1
PIP4K2A,AC244131.2
RAB7A,SLC26A5
TPI1,GALNT15
TNFRSF1A,AL356488.2
KCNT2,KCNJ9
GEM,ZBED5
CXCL14,NETO2
AC061992.2,GNAS
CHST3,P3H2
HAUS7,FZD3
AL139260.1,GFPT2
INSIG1,AC025442.2
ENO1,ASTN2
ITGB1,EBF4
ABCC9,TMEM132E
DIP2C,STK32A
PSRC1,ZNF704
TANC2,AL627316.1
PLCXD3,MT-ATP8
SIK2,ALK
PSD3,MKLN1-AS
ENO2,GPC4
CD81,LCORL
CARS,ITIH5
IRF2BP2,NHS
SHISA5,CD24
PTPRZ1,NME9
IFFO2,S100A10
HIF1A-AS3,APLNR
EEF1A1,EPB41L3
BGN,RHOBTB1
YOD1,MCPH1
AKR1C1,NHSL2
YY1AP1,GRIN2A
MARCH3,ADAMTS9-AS2
TUBB3,PPP1R15A
SEPTIN9,PCSK1N
ITM2C,SH3PXD2B
FNDC4,AC093865.1
HSPH1,CRB2
DDX5,KLHL29
BICD1,AC020911.2
SLC16A7,MRGPRF
HSP90AB1,PPP1R1A
AC104695.4,TLE2
FGF2,AL355612.1
HS3ST3B1,CCDC173
TPM4,RFX2
ECE1,RHPN1
HSPA9,AL355974.2
APOE,AL445250.1
RAP1B,SAMD1
C1R,LINC00906
PRR16,CNNM1
UNC5D,KCNH8
ADAM33,AP000317.1
KCNJ3,PLPP1
LPCAT3,RBFOX1
KIAA0040,SERPINA5
TRAF3IP2,EPHA7
B2M,GRIP1
TUBA1A,TMOD1
YWHAZ,ZC4H2
CRLF1,WFS1
AKAP12,GPR135
BEST1,ARHGAP39
C1orf198,PRKCB
ARIH1,RGS6
GINS3,PACRG
AFAP1,FRMD6
HSPB8,AL137781.1
PTGES3,PCDH19
PADI2,ANXA1
IQCM,TSPAN11
ARNTL2,CTXN1
PHC2,MEGF9
EMP3,RIBC2
SULF1,AL627171.2
RASGEF1B,SYNDIG1
SARS,CHST9
ADAMTSL3,C1orf87
PNRC1,SLC17A5
PMEPA1,SAMHD1
RHOQ,PITRM1-AS1
HMGCS1,STARD13
AL035681.1,CSMD3
IFRD1,AR
ABCC1,AC092131.1
GALNT10,DRC1
B4GALNT4,IQUB
ADAMTS9-AS2,ZBBX
SH3GLB1,GPNMB
SLC38A2,MOB1B
PLEKHA5,WSCD1
PKD1,DOC2A
CTSD,SPAG17
ANKRD37,RGMB
MRTFA,SLC20A2
STOM,ELN
DUSP1,AC103855.2
ASAP3,KIAA2012
MT1A,PGM2L1
UBB,CADPS2
SLC22A4,LRFN5
LINC01937,PIM1
JDP2,LRRN2
PFKFB2,MIR124-2HG
LTBP1,KLF2
KLF10,AC107021.2
C1orf87,KCNH2
NBPF26,FRMPD2
RCAN1,ARID3A
SCN7A,DDIT4L
DNAJB2,HAUS7
AL031280.1,LRRC1
DDIT3,GSN
ANKRD10,CABCOCO1
TMBIM1,ST3GAL6
STIP1,CSMD2
GFPT2,TMEM163
MAP2K3,CROCC
HSPA6,AC245297.2
POC1B,LINC00310
PROS1,ARHGEF4
CHD1,FAM227A
ARHGEF10L,PRELP
C4orf19,AC112253.1
C1RL,TBX6
DNAJA1,ADAMTS3
AC083837.1,CSF1
ELOVL7,AC090403.1
CFI,ZNF804B
MASP1,AKR1C1
AARS,EFCAB1
TACC2,AL158071.4
AL157871.4,SPACA6
EPAS1,AMPD2
AL096709.1,BOC
DDR2,IQGAP1
LINC00907,ZNF469
ETNK1,GRIK1-AS1
ITGA5,NR4A1
FGFR1,LINC01252
TMEM59L,GMNC
CEBPD,AL353138.1
PPP3CA,ST6GALNAC2
HECW2,COLGALT1
PTCHD1,AL096709.1
NUDT4,BAIAP2
KANSL1,ADGB
SLC2A3,SYTL3
PMP2,AC092835.1
ZNF331,PLK5
RGS6,AC023282.1
PARD6G-AS1,KLF4
ETHE1,CYP4F12
AFF4,UTRN
SKIL,AL606807.1
MRTFB,GRIK4
GGT5,FAM89A
PLEKHA4,PSD2
ADM,MAFF
NR4A2,AC233296.1
IRAK2,PRKX
IDI1,HP1BP3
LGALS1,NRXN3
SERPINB1,SSBP4
CHST6,NOS1AP
UBALD2,PAWR
RANBP9,APP
TRIP10,LCOR
HLA-C,RERGL
KCNG1,PKDCC
GCLM,WASF1
UBE2H,STEAP3
CCDC6,KIAA1217
CRB2,AP001021.3
AC079385.1,CIT
DUSP8,LZTS3
WTAP,RGMA
ATP13A3,MGAT5B
LMNB1,ANKRD30BL
ARC,GAREM2
RETREG1,CDKL1
NDEL1,DOCK10
PRDX5,ITPRIP
SOAT1,PTPRK
RAPGEF4,UNC5D
GALNT13,CXXC5
PEBP1,DEPTOR
SLC38A1,HAS2-AS1
ST6GALNAC6,PKP2
DYNLRB1,CFI
AP002336.2,MPP6
APOL6,AL133304.3
IER2,CPAMD8
ZNF804B,AC093240.1
RAB11A,CFAP61
SMARCA1,C9orf16
DCLK1,IP6K3
RPL13A,ATOH8
OSGIN2,PAK3
TKT,SNAP25-AS1
DPY19L1,PDP1
CPSF4,LTBP2
XPOT,NMT1
LINC00632,ZNHIT6
AKAP13,NOTUM
RASGEF1A,RABAC1
RND1,ZNF69
ADGRG7,DMTN
PIM3,RRAD
BMPR2,TCP11L2
COL8A1,AC034268.2
UBE2D3,DPYSL5
NPC1,TSEN15
H3F3B,HSPB2
TGFB3,EBF1
PER1,NR4A3
AC002069.2,ARHGEF10L
ADD2,GRM5
PGK1,USP43
ITGA2,MAML2
PDK1,C5orf64
SQSTM1,ATF3
ZNF608,TMEM200A
LMO4,DSCAML1
DOCK10,TJP2
AC003991.1,DDR2
OGFRL1,MIR924HG
CEBPG,NRSN2-AS1
SPRED3,C2CD4C
FAM89A,NECAB2
BAIAP2,DPYSL3
TEAD4,OVCH1
MVP,BTG3
AC009163.1,NFIC
CSMD2,FABP6
IL4R,PARD3
MORF4L2,CFAP161
GPRIN3,RAMP1
GASK1A,AGPAT4
LARP4,GALNT17
ANKRD30BL,AC084816.1
PXDC1,GAS7
AL355974.2,GRAMD2B
PVT1,SPAG1
DNAJB6,FRG1-DT
TPD52L1,ZNF135
SHB,HGF
RANGAP1,CD34
ANOS1,RASL12
TUBB6,EAF2
ACTB,HCG17
SLC44A3,CD58
ADGRG1,IQCM
